subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
25-09-PAMELA-1,1,1,1,T,1,fast,wide,D2,,,,,,46614.792,50444.161,3829.4,None,0,2026-06-30T13:16:15.8271538+02:00
25-09-PAMELA-1,1,1,2,VT,1,fast,narrow,D3,51657.358,52161.761,52282.334,52387.313,52662.547,52282.334,52439.251,156.9,None,0,2026-06-30T13:16:20.0447604+02:00
25-09-PAMELA-1,1,1,3,VT,1,fast,wide,D5,55872.232,56369.730,56487.730,56617.057,56860.195,56251.207,56617.057,365.8,None,0,2026-06-30T13:16:24.2617460+02:00
25-09-PAMELA-1,1,1,4,V,1,slow,narrow,,60090.871,61577.625,61917.601,62314.004,63070.199,,62314.004,,None,0,2026-06-30T13:16:28.4887417+02:00
25-09-PAMELA-1,1,1,5,T,1,slow,narrow,D3,,,,,,66154.582,69006.768,2852.2,None,0,2026-06-30T13:16:34.3887723+02:00
25-09-PAMELA-1,1,1,6,V,1,fast,wide,,70212.888,70702.833,70807.524,70936.946,71184.517,,71092.615,,None,0,2026-06-30T13:16:38.5952941+02:00
25-09-PAMELA-1,1,1,7,V,1,slow,wide,,74450.954,75925.037,76267.620,76651.732,77419.161,,76410.434,,None,0,2026-06-30T13:16:42.8524810+02:00
25-09-PAMELA-1,1,1,8,VT,1,fast,narrow,D1,78679.651,79158.229,79275.640,79405.292,79665.628,79665.628,79405.292,-260.3,None,0,2026-06-30T13:16:47.0635780+02:00
25-09-PAMELA-1,1,1,9,V,1,slow,narrow,,82897.894,84381.754,84733.352,85106.712,85874.318,,85184.128,,None,0,2026-06-30T13:16:51.2818660+02:00
25-09-PAMELA-1,1,1,10,VT,1,slow,narrow,D6,87120.970,88628.400,88964.748,89351.301,90114.472,87896.398,89045.508,1149.1,None,0,2026-06-30T13:16:55.5101788+02:00
25-09-PAMELA-1,1,1,11,V,1,slow,narrow,,91341.600,92850.886,93184.072,93563.576,94344.947,,93801.725,,None,0,2026-06-30T13:16:59.7400495+02:00
25-09-PAMELA-1,1,1,12,V,1,fast,wide,,95579.617,96068.464,96190.036,96311.083,96566.506,,96377.626,,None,0,2026-06-30T13:17:03.9614485+02:00
25-09-PAMELA-1,1,1,13,VT,1,fast,wide,D2,99796.093,100288.624,100392.278,100513.054,100775.666,100513.054,100721.877,208.8,None,0,2026-06-30T13:17:08.1903537+02:00
25-09-PAMELA-1,1,1,14,VT,1,fast,wide,D5,104021.342,104525.141,104628.461,104748.157,105012.095,104407.471,104828.503,421.0,None,0,2026-06-30T13:17:12.4156601+02:00
25-09-PAMELA-1,1,1,15,VT,1,fast,wide,D7,108241.136,108726.336,108831.652,108962.701,109223.864,108241.136,108986.715,745.6,None,0,2026-06-30T13:17:16.6313927+02:00
25-09-PAMELA-1,1,1,16,VT,1,slow,narrow,D2,112453.384,113945.005,114290.369,114670.988,115458.067,114670.988,114868.387,197.4,None,0,2026-06-30T13:17:20.8527624+02:00
25-09-PAMELA-1,1,1,17,V,1,fast,wide,,116675.798,117166.621,117286.284,117429.020,117677.992,,117576.762,,None,0,2026-06-30T13:17:25.0589382+02:00
25-09-PAMELA-1,1,1,18,V,1,fast,narrow,,120884.269,121377.128,121507.309,121614.105,121879.875,,121638.202,,None,0,2026-06-30T13:17:29.2667404+02:00
25-09-PAMELA-1,1,1,19,VT,1,slow,narrow,D5,125084.406,126598.332,126916.599,127298.668,128066.188,126251.189,127432.235,1181.0,None,0,2026-06-30T13:17:33.4725657+02:00
25-09-PAMELA-1,1,1,20,VT,1,fast,narrow,D2,129309.749,129784.712,129915.945,130036.902,130301.743,130036.902,130144.270,107.4,None,0,2026-06-30T13:17:37.7040040+02:00
25-09-PAMELA-1,1,1,21,VT,1,fast,narrow,D5,133515.353,134015.407,134120.103,134253.043,134503.393,133908.756,134238.947,330.2,None,0,2026-06-30T13:17:41.9065712+02:00
25-09-PAMELA-1,1,1,22,T,1,slow,wide,D3,,,,,,139598.647,140471.778,873.1,None,0,2026-06-30T13:17:46.1424996+02:00
25-09-PAMELA-1,1,1,23,VT,1,slow,narrow,D1,141972.285,143465.920,143811.583,144184.847,144975.546,144975.546,143877.747,-1097.8,None,0,2026-06-30T13:17:50.3690295+02:00
