subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
25-09-PAMELA-1,1,1,1,T,1,fast,narrow,D4,50197.319,,,,,,50698.156,53742.949,3044.8,None,0,2026-06-30T13:31:17.8612559+02:00
25-09-PAMELA-1,1,1,2,VT,1,slow,narrow,D7,54955.668,54955.668,56443.309,56771.251,57153.901,57928.708,54955.668,57328.046,2372.4,None,0,2026-06-30T13:31:22.0817827+02:00
25-09-PAMELA-1,1,1,3,T,1,fast,narrow,D3,59157.967,,,,,,59776.781,63183.116,3406.3,None,0,2026-06-30T13:31:27.2994462+02:00
25-09-PAMELA-1,1,1,4,T,1,fast,wide,D5,64375.363,,,,,,64762.943,69054.277,4291.3,None,0,2026-06-30T13:31:33.1702518+02:00
25-09-PAMELA-1,1,1,5,VT,1,fast,narrow,D2,70248.310,70248.310,70742.869,70849.059,70980.688,71257.034,70980.688,71032.994,52.3,None,0,2026-06-30T13:31:37.3749603+02:00
25-09-PAMELA-1,1,1,6,VT,1,slow,narrow,D1,74457.669,74457.669,75968.710,76286.300,76680.038,77444.606,77444.606,76588.833,-855.8,None,0,2026-06-30T13:31:41.5992271+02:00
25-09-PAMELA-1,1,1,7,VT,1,fast,wide,D7,78685.775,78685.775,79188.862,79295.892,79424.083,79686.098,78685.775,79269.170,583.4,None,0,2026-06-30T13:31:45.8053037+02:00
25-09-PAMELA-1,1,1,8,V,1,slow,narrow,,82901.645,82901.645,84390.172,84733.001,85114.786,85883.725,,85207.069,,None,0,2026-06-30T13:31:50.0244815+02:00
25-09-PAMELA-1,1,1,9,VT,1,fast,wide,D4,87117.826,87117.826,87618.716,87723.702,87866.375,88114.954,87618.716,87880.431,261.7,None,0,2026-06-30T13:31:54.2526242+02:00
25-09-PAMELA-1,1,1,10,T,1,slow,narrow,D3,91340.736,,,,,,93180.698,95923.067,2742.4,None,0,2026-06-30T13:32:00.0413420+02:00
25-09-PAMELA-1,1,1,11,VT,1,slow,narrow,D7,97127.800,97127.800,98632.702,98960.270,99345.785,100124.540,97127.800,99637.039,2509.2,None,0,2026-06-30T13:32:04.2537857+02:00
25-09-PAMELA-1,1,1,12,VT,1,fast,narrow,D3,101358.547,101358.547,101836.777,101944.917,102074.975,102338.787,101944.917,102089.206,144.3,None,0,2026-06-30T13:32:08.4771988+02:00
25-09-PAMELA-1,1,1,13,VT,1,fast,wide,D4,105559.080,105559.080,106061.887,106171.090,106293.683,106548.322,106061.887,106362.030,300.1,None,0,2026-06-30T13:32:12.6813555+02:00
