subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
P000,1,1,1,near_hit,HIT,none,fast,start-fast,start,1.10,0,0,0.0000,MISS,1350.53,0,0,2026-06-12T16:43:34.5227968+02:00
P000,1,1,2,clear_miss,MISS,fast,fast,fast-fast,repetition,56.12,0,0,0.0000,MISS,765.73,1,0,2026-06-12T16:43:39.7434235+02:00
P000,1,1,3,clear_hit,HIT,fast,fast,fast-fast,repetition,18.76,0,0,0.0000,MISS,808.31,0,0,2026-06-12T16:43:45.6460895+02:00
P000,1,1,4,near_hit,HIT,fast,fast,fast-fast,repetition,-6.95,0,0,0.0000,HIT,1183.48,1,0,2026-06-12T16:43:52.0656281+02:00
P000,1,1,5,near_miss,MISS,fast,fast,fast-fast,repetition,39.58,0,0,0.0000,MISS,1113.65,1,0,2026-06-12T16:43:57.5498802+02:00
P000,1,1,6,clear_miss,MISS,fast,fast,fast-fast,repetition,-51.18,0,0,0.0000,HIT,779.20,0,0,2026-06-12T16:44:02.6168989+02:00
P000,1,1,7,near_hit,HIT,fast,fast,fast-fast,repetition,7.37,0,0,0.0000,MISS,1225.68,0,0,2026-06-12T16:44:08.9812143+02:00
P000,1,1,8,near_miss,MISS,fast,slow,fast-slow,transition,-37.43,0,0,0.0000,HIT,1517.84,0,0,2026-06-12T16:44:15.2886553+02:00
P000,1,1,9,near_hit,HIT,slow,slow,slow-slow,repetition,-2.30,0,0,0.0000,MISS,1796.00,0,0,2026-06-12T16:44:28.6953154+02:00
P000,1,1,10,near_miss,MISS,slow,slow,slow-slow,repetition,30.15,0,0,0.0000,MISS,1628.66,1,0,2026-06-12T16:44:41.7124176+02:00
P000,1,1,11,clear_miss,MISS,slow,fast,slow-fast,transition,-58.38,0,0,0.0000,HIT,891.02,0,0,2026-06-12T16:44:54.5911725+02:00
P000,1,1,12,clear_hit,HIT,fast,fast,fast-fast,repetition,10.74,0,0,0.0000,MISS,905.77,0,0,2026-06-12T16:45:00.3283085+02:00
P000,1,1,13,near_miss,MISS,fast,fast,fast-fast,repetition,31.50,0,0,0.0000,MISS,919.82,1,0,2026-06-12T16:45:06.4236595+02:00
P000,1,1,14,clear_miss,MISS,fast,slow,fast-slow,transition,-55.17,0,0,0.0000,HIT,974.91,0,0,2026-06-12T16:45:12.0919777+02:00
P000,1,1,15,near_miss,MISS,slow,slow,slow-slow,repetition,30.35,0,0,0.0000,MISS,2422.63,1,0,2026-06-12T16:45:27.3231708+02:00
P000,1,1,16,near_hit,HIT,slow,slow,slow-slow,repetition,7.87,0,0,0.0000,MISS,1601.04,0,0,2026-06-12T16:45:40.2152087+02:00
P000,1,1,17,clear_hit,HIT,slow,slow,slow-slow,repetition,-17.31,0,0,0.0000,HIT,1350.83,1,0,2026-06-12T16:45:52.9831942+02:00
P000,1,1,18,clear_miss,MISS,slow,slow,slow-slow,repetition,-54.14,0,0,0.0000,HIT,1072.32,0,0,2026-06-12T16:46:06.2646372+02:00
P000,1,1,19,near_hit,HIT,slow,slow,slow-slow,repetition,13.41,0,0,0.0000,HIT,4120.79,1,0,2026-06-12T16:46:23.2781290+02:00
P000,1,1,20,clear_hit,HIT,slow,slow,slow-slow,repetition,-15.02,0,0,0.0000,HIT,4970.31,1,0,2026-06-12T16:46:38.0363850+02:00
P000,1,1,21,clear_miss,MISS,slow,slow,slow-slow,repetition,-64.22,0,0,0.0000,HIT,5164.97,0,0,2026-06-12T16:46:51.4985459+02:00
P000,1,1,22,clear_hit,HIT,slow,slow,slow-slow,repetition,19.34,0,0,0.0000,HIT,3523.08,1,0,2026-06-12T16:47:03.3621174+02:00
P000,1,1,23,near_miss,MISS,slow,slow,slow-slow,repetition,36.82,0,0,0.0000,MISS,3480.86,1,0,2026-06-12T16:47:16.8930764+02:00
P000,1,1,24,near_hit,HIT,slow,slow,slow-slow,repetition,13.00,0,0,0.0000,HIT,2018.21,1,0,2026-06-12T16:47:29.4089185+02:00
P000,1,1,25,clear_miss,MISS,slow,slow,slow-slow,repetition,58.81,0,0,0.0000,MISS,1183.33,1,0,2026-06-12T16:47:42.4558762+02:00
P000,1,1,26,near_miss,MISS,slow,slow,slow-slow,repetition,30.87,0,0,0.0000,HIT,3132.49,0,0,2026-06-12T16:47:58.1182294+02:00
P000,1,1,27,clear_hit,HIT,slow,slow,slow-slow,repetition,16.73,0,0,0.0000,HIT,1308.25,1,0,2026-06-12T16:48:10.2164603+02:00
P000,1,1,28,near_hit,HIT,slow,fast,slow-fast,transition,7.16,0,0,0.0000,HIT,946.53,1,0,2026-06-12T16:48:22.9542475+02:00
P000,1,1,29,clear_miss,MISS,fast,fast,fast-fast,repetition,53.56,0,0,0.0000,MISS,1030.29,1,0,2026-06-12T16:48:29.3446651+02:00
P000,1,1,30,clear_hit,HIT,fast,fast,fast-fast,repetition,-5.57,0,0,0.0000,MISS,1517.44,0,0,2026-06-12T16:48:35.5684578+02:00
P000,1,1,31,near_miss,MISS,fast,fast,fast-fast,repetition,35.31,0,0,0.0000,MISS,1364.71,1,0,2026-06-12T16:48:41.0263406+02:00
P000,1,1,32,clear_miss,MISS,fast,fast,fast-fast,repetition,-56.20,0,0,0.0000,MISS,1378.81,1,0,2026-06-12T16:48:46.3857015+02:00
P000,1,1,33,near_miss,MISS,fast,fast,fast-fast,repetition,33.32,0,0,0.0000,HIT,1267.68,0,0,2026-06-12T16:48:52.0677519+02:00
P000,1,1,34,near_hit,HIT,fast,fast,fast-fast,repetition,-0.08,0,0,0.0000,HIT,877.48,1,0,2026-06-12T16:48:57.8587115+02:00
P000,1,1,35,clear_hit,HIT,fast,fast,fast-fast,repetition,-7.97,0,0,0.0000,HIT,1072.31,1,0,2026-06-12T16:49:04.1784671+02:00
P000,1,1,36,near_hit,HIT,fast,fast,fast-fast,repetition,-3.01,0,0,0.0000,MISS,1142.12,0,0,2026-06-12T16:49:10.4303834+02:00
P000,1,1,37,clear_hit,HIT,fast,slow,fast-slow,transition,0.10,0,0,0.0000,MISS,1462.14,0,0,2026-06-12T16:49:16.8760970+02:00
P000,1,1,38,clear_miss,MISS,slow,slow,slow-slow,repetition,-55.67,0,0,0.0000,HIT,1057.94,0,0,2026-06-12T16:49:30.1856391+02:00
P000,1,1,39,near_miss,MISS,slow,slow,slow-slow,repetition,-33.72,0,0,0.0000,HIT,1475.72,0,0,2026-06-12T16:49:44.4553998+02:00
P000,1,1,40,clear_hit,HIT,slow,slow,slow-slow,repetition,20.27,0,0,0.0000,MISS,1643.34,0,0,2026-06-12T16:49:58.1693539+02:00
P000,1,2,1,near_miss,MISS,none,fast,start-fast,start,-39.45,0,0,0.0000,HIT,1002.59,0,0,2026-06-12T16:50:14.5011047+02:00
P000,1,2,2,clear_miss,MISS,fast,fast,fast-fast,repetition,49.78,0,0,0.0000,MISS,794.31,1,0,2026-06-12T16:50:19.7208470+02:00
P000,1,2,3,near_miss,MISS,fast,fast,fast-fast,repetition,37.73,0,0,0.0000,MISS,695.94,1,0,2026-06-12T16:50:25.0935923+02:00
P000,1,2,4,clear_hit,HIT,fast,fast,fast-fast,repetition,-10.49,0,0,0.0000,HIT,710.30,1,0,2026-06-12T16:50:30.6494748+02:00
P000,1,2,5,near_miss,MISS,fast,fast,fast-fast,repetition,39.15,0,0,0.0000,MISS,1211.65,1,0,2026-06-12T16:50:37.3189149+02:00
