trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,T,D1,fast,wide,,,,,,,,,,47536.600,True
B1_T02,1,VT,D2,slow,wide,49039.706,49039.706,49805.359,50195.191,50529.184,50877.423,51253.365,52018.837,,50612.717,True
B1_T03,1,VT,D3,fast,wide,53257.885,53257.885,53508.566,53633.647,53744.945,53870.543,53995.306,54246.040,,56501.770,True
B1_T04,1,VT,D7,slow,narrow,57712.743,57712.743,58478.232,58867.807,59202.494,59550.263,59926.284,60705.720,,62376.969,True
B1_T05,1,V,,fast,narrow,63588.431,63588.431,63839.071,63964.205,64075.531,64200.743,64326.262,64576.812,,64562.938,True
B1_T06,1,VT,D5,fast,narrow,67806.468,67806.468,68057.027,68182.215,68293.711,68418.881,68544.648,68794.887,,68906.135,True
B1_T07,1,T,D2,slow,wide,,,,,,,,,,74419.133,True
B1_T08,1,V,,fast,narrow,76242.978,76242.978,76493.782,76619.319,76730.561,76855.686,76981.375,77231.635,,77133.776,True
B1_T09,1,VT,D6,slow,narrow,80461.112,80461.112,81226.811,81616.383,81950.642,82298.675,82674.641,83454.044,,82869.652,True
B1_T10,1,T,D7,fast,wide,,,,,,,,,,88020.745,True
B1_T11,1,T,D3,fast,wide,,,,,,,,,,93909.963,True
B1_T12,1,VT,D5,slow,wide,95120.844,95120.844,95886.732,96276.381,96610.448,96958.550,97331.740,98112.571,,97736.243,True
B1_T13,1,VT,D4,slow,wide,99338.416,99338.416,100102.400,100492.565,100826.730,101174.910,101551.446,102317.740,,101969.047,True
B1_T14,1,VT,D4,slow,narrow,103557.365,103557.365,104323.496,104712.423,105046.612,105394.685,105770.708,106536.887,,105618.188,True
B1_T15,1,VT,D4,fast,wide,107776.503,107776.503,108027.020,108152.618,108263.713,108389.164,108514.668,108765.507,,108458.830,True
B1_T16,1,VT,D1,slow,wide,111995.213,111995.213,112761.032,113150.621,113484.674,113832.955,114209.029,114988.303,,115197.039,True
B1_T17,1,T,D5,slow,narrow,,,,,,,,,,120891.703,True
B1_T18,1,V,,fast,wide,122102.612,122102.612,122353.343,122478.581,122590.000,122715.098,122840.416,123091.037,,123063.148,True
B1_T19,1,VT,D5,slow,wide,126320.681,126320.681,127086.666,127475.936,127810.009,128158.228,128533.831,129313.567,,130983.745,True
B1_T20,1,T,D6,slow,wide,,,,,,,,,,136817.763,True
B1_T21,1,VT,D1,fast,narrow,138028.899,138028.899,138279.179,138404.381,138516.523,138641.220,138766.919,139017.217,,139128.630,True
