Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
7.174252,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
8.009307,pps_response,,,,,,62
10.153598,pps_vib_fired,PRACTICE_T01,,,,D4,64
13.772832,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
14.399099,pps_response,,,,,,62
14.886604,pps_vib_fired,PRACTICE_T02,,,,D4,64
19.494674,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
23.754839,pps_response,,,,,,62
26.176946,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
27.778303,pps_response,,,,,,62
30.437369,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
31.634607,pps_response,,,,,,62
37.092292,pps_trial_start,PRACTICE_T02,Both,,,45,45
39.166708,pps_response,,,,,,62
40.057591,pps_vib_fired,PRACTICE_T02,,,,D4,64
43.816404,pps_trial_start,PRACTICE_T03,Both,,,46,46
44.930337,pps_vib_fired,PRACTICE_T03,,,,D4,64
45.251220,pps_response,,,,,,62
0.000000,session_end,,,,,,57
