subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
P1,1,1,1,near_miss,MISS,none,fast,start-fast,start,58.43,0,0,0.0000,MISS,1448.33,1,0,2026-07-06T12:04:46.0870289+02:00
P1,1,1,2,near_miss,MISS,fast,fast,fast-fast,repetition,58.51,0,0,0.0000,MISS,1517.08,1,0,2026-07-06T12:04:51.6121327+02:00
P1,1,1,3,clear_hit,HIT,fast,fast,fast-fast,repetition,-8.53,0,0,0.0000,HIT,863.90,1,0,2026-07-06T12:04:56.9310569+02:00
P1,1,1,4,near_hit,MISS,fast,fast,fast-fast,repetition,38.69,0,0,0.0000,MISS,848.16,1,0,2026-07-06T12:05:02.4710525+02:00
P1,1,1,5,clear_miss,MISS,fast,fast,fast-fast,repetition,-83.24,0,0,0.0000,MISS,1072.24,1,0,2026-07-06T12:05:08.1651968+02:00
P1,1,1,6,near_miss,MISS,fast,slow,fast-slow,transition,52.20,0,0,0.0000,HIT,653.53,0,0,2026-07-06T12:05:13.8303710+02:00
P1,1,1,7,clear_miss,MISS,slow,slow,slow-slow,repetition,73.16,0,0,0.0000,MISS,1406.33,1,0,2026-07-06T12:05:28.2111847+02:00
P1,1,1,8,near_miss,MISS,slow,slow,slow-slow,repetition,-45.01,0,0,0.0000,MISS,1767.73,1,0,2026-07-06T12:05:41.8247917+02:00
P1,1,1,9,near_miss,MISS,slow,fast,slow-fast,transition,-55.99,0,0,0.0000,MISS,1295.21,1,0,2026-07-06T12:05:54.6465814+02:00
P1,1,1,10,near_miss,MISS,fast,fast,fast-fast,repetition,-54.63,0,0,0.0000,MISS,891.05,1,0,2026-07-06T12:05:59.7543543+02:00
P1,1,1,11,clear_hit,HIT,fast,fast,fast-fast,repetition,-7.38,0,0,0.0000,HIT,989.22,1,0,2026-07-06T12:06:05.7275861+02:00
P1,1,1,12,clear_miss,MISS,fast,fast,fast-fast,repetition,89.25,0,0,0.0000,MISS,1085.69,1,0,2026-07-06T12:06:11.4489635+02:00
P1,1,1,13,clear_hit,HIT,fast,fast,fast-fast,repetition,0.00,0,0,0.0000,HIT,1002.45,1,0,2026-07-06T12:06:17.6575693+02:00
P1,1,1,14,near_miss,MISS,fast,fast,fast-fast,repetition,-54.71,0,0,0.0000,MISS,1087.62,1,0,2026-07-06T12:06:23.8354840+02:00
P1,1,1,15,clear_miss,MISS,fast,fast,fast-fast,repetition,71.83,0,0,0.0000,MISS,1336.46,1,0,2026-07-06T12:06:29.8369445+02:00
P1,1,1,16,near_miss,MISS,fast,fast,fast-fast,repetition,-56.57,0,0,0.0000,MISS,654.33,1,0,2026-07-06T12:06:34.5706732+02:00
P1,1,1,17,clear_miss,MISS,fast,fast,fast-fast,repetition,68.33,0,0,0.0000,MISS,1001.24,1,0,2026-07-06T12:06:40.5149470+02:00
P1,1,1,18,near_hit,MISS,fast,slow,fast-slow,transition,37.61,0,0,0.0000,HIT,1141.82,0,0,2026-07-06T12:06:46.5283404+02:00
P1,1,1,19,clear_miss,MISS,slow,slow,slow-slow,repetition,-77.34,0,0,0.0000,MISS,821.61,1,0,2026-07-06T12:06:59.5729352+02:00
P1,1,1,20,clear_hit,HIT,slow,slow,slow-slow,repetition,-5.34,0,0,0.0000,HIT,3271.40,1,0,2026-07-06T12:07:15.8180031+02:00
P1,1,1,21,near_hit,MISS,slow,fast,slow-fast,transition,41.67,0,0,0.0000,MISS,891.14,1,0,2026-07-06T12:07:26.6905140+02:00
P1,1,1,22,near_hit,MISS,fast,fast,fast-fast,repetition,-43.11,0,0,0.0000,MISS,835.29,1,0,2026-07-06T12:07:32.4392737+02:00
P1,1,1,23,clear_hit,HIT,fast,fast,fast-fast,repetition,-2.68,0,0,0.0000,HIT,863.58,1,0,2026-07-06T12:07:38.5798637+02:00
P1,1,1,24,clear_miss,MISS,fast,fast,fast-fast,repetition,80.41,0,0,0.0000,MISS,626.29,1,0,2026-07-06T12:07:44.6363736+02:00
P1,1,1,25,clear_hit,HIT,fast,fast,fast-fast,repetition,0.12,0,0,0.0000,HIT,905.47,1,0,2026-07-06T12:07:50.5806604+02:00
P1,1,1,26,near_miss,MISS,fast,slow,fast-slow,transition,48.28,0,0,0.0000,MISS,1449.24,1,0,2026-07-06T12:07:57.1945249+02:00
P1,1,1,27,clear_miss,MISS,slow,slow,slow-slow,repetition,-62.22,0,0,0.0000,MISS,2060.24,1,0,2026-07-06T12:08:11.6588864+02:00
P1,1,1,28,clear_hit,HIT,slow,slow,slow-slow,repetition,-9.01,0,0,0.0000,HIT,1281.37,1,0,2026-07-06T12:08:24.6903821+02:00
P1,1,1,29,near_hit,MISS,slow,slow,slow-slow,repetition,-31.21,0,0,0.0000,MISS,6362.90,1,0,2026-07-06T12:08:43.6387628+02:00
P1,1,1,30,clear_miss,MISS,slow,slow,slow-slow,repetition,79.19,0,0,0.0000,HIT,1295.17,0,0,2026-07-06T12:08:51.6298960+02:00
P1,1,1,31,near_hit,MISS,slow,slow,slow-slow,repetition,-38.77,0,0,0.0000,MISS,1809.87,1,0,2026-07-06T12:09:05.4946746+02:00
P1,1,1,32,near_miss,MISS,slow,slow,slow-slow,repetition,-45.02,0,0,0.0000,MISS,1712.84,1,0,2026-07-06T12:09:19.1111017+02:00
