Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
18.376484,pps_trial_start,PRACTICE_T01,TactileOnly,,,19,19
19.876674,pps_vib_fired,PRACTICE_T01,,,,D4,127
22.995779,pps_response,,,,,,62
24.222342,pps_trial_start,PRACTICE_T02,TactileOnly,,,13,13
26.102487,pps_vib_fired,PRACTICE_T02,,,,D3,127
28.940069,pps_response,,,,,,62
32.365654,pps_trial_start,PRACTICE_T01,VisualOnly,,,3,3
34.872059,pps_response,,,,,,62
36.613242,pps_trial_start,PRACTICE_T02,Both,,,47,47
38.104702,pps_vib_fired,PRACTICE_T02,,,,D4,127
41.350163,pps_response,,,,,,62
42.576755,pps_trial_start,PRACTICE_T03,Both,,,41,41
44.396375,pps_vib_fired,PRACTICE_T03,,,,D3,127
47.248777,pps_response,,,,,,62
52.247656,pps_session_start,,,,,,61
56.467285,pps_trial_start,B1_T01,Both,,,60,60
56.467285,pps_vib_fired,B1_T01,,,,D7,127
57.764381,pps_response,,,,,,62
60.713696,pps_trial_start,B1_T02,Both,,,55,55
61.492327,pps_vib_fired,B1_T02,,,,D6,127
61.772258,pps_response,,,,,,62
64.952496,pps_trial_start,B1_T03,Both,,,33,33
66.582533,pps_response,,,,,,62
67.918176,pps_vib_fired,B1_T03,,,,D1,127
69.172942,pps_trial_start,B1_T04,TactileOnly,,,11,11
71.426174,pps_vib_fired,B1_T04,,,,D2,127
73.921167,pps_response,,,,,,62
75.143936,pps_trial_start,B1_T05,TactileOnly,,,29,29
75.143936,pps_vib_fired,B1_T05,,,,D7,127
80.241716,pps_response,,,,,,62
81.455181,pps_trial_start,B1_T06,VisualOnly,,,1,1
83.511924,pps_response,,,,,,62
85.684683,pps_trial_start,B1_T07,Both,,,51,51
86.839749,pps_vib_fired,B1_T07,,,,D5,127
87.970282,pps_response,,,,,,62
89.931294,pps_trial_start,B1_T08,Both,,,44,44
90.541944,pps_vib_fired,B1_T08,,,,D3,127
91.197443,pps_response,,,,,,62
94.218719,pps_trial_start,B1_T09,Both,,,38,38
94.990924,pps_vib_fired,B1_T09,,,,D2,127
0.000000,session_end,,,,,,57
