subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
PAM,1,1,1,VT,1,slow,narrow,D6,358424.670,358424.670,359914.204,360262.376,360638.037,361403.997,359190.200,359552.158,362.0,None,0,2026-07-06T11:22:12.1942515+02:00
PAM,1,1,2,VT,1,slow,wide,D6,362935.446,362935.446,364424.526,364772.357,365148.744,365914.347,363700.795,363993.200,292.4,None,0,2026-07-06T11:22:16.7034926+02:00
PAM,1,1,3,VT,1,fast,wide,D1,367446.415,367446.415,367933.645,368058.887,368184.012,368434.882,368434.882,368713.467,278.6,None,0,2026-07-06T11:22:21.2158311+02:00
PAM,1,1,4,VT,1,fast,wide,D2,371957.817,371957.817,372444.918,372570.350,372695.771,372946.012,372695.771,372890.428,194.7,None,0,2026-07-06T11:22:25.7260983+02:00
PAM,1,1,5,VT,1,slow,narrow,D2,376468.237,376468.237,377957.577,378305.694,378681.649,379447.282,378681.649,378890.271,208.6,None,0,2026-07-06T11:22:30.2358758+02:00
PAM,1,1,6,VT,1,fast,narrow,D3,380978.498,380978.498,381465.795,381590.807,381716.247,381966.630,381590.807,381799.739,208.9,None,0,2026-07-06T11:22:34.7461930+02:00
PAM,1,1,7,V,1,fast,narrow,,385488.957,385488.957,385976.020,386101.344,386226.826,386477.612,,386561.052,,None,0,2026-07-06T11:22:39.2566669+02:00
PAM,1,1,8,VT,1,fast,wide,D5,389999.756,389999.756,390486.849,390612.696,390737.566,390988.605,390375.577,390709.597,334.0,None,0,2026-07-06T11:22:43.7685020+02:00
PAM,1,1,9,VT,1,fast,narrow,D3,394510.730,394510.730,394997.703,395123.315,395248.271,395498.913,395123.315,395429.446,306.1,None,0,2026-07-06T11:22:48.2790389+02:00
PAM,1,1,10,V,0,slow,narrow,,399021.050,399021.050,400511.216,400859.170,401235.085,402000.677,,,,None,0,2026-07-06T11:22:52.7892905+02:00
PAM,1,1,11,VT,1,slow,wide,D7,403532.253,403532.253,405021.686,405369.681,405745.514,406525.071,403532.253,403866.474,334.2,None,0,2026-07-06T11:22:57.3003775+02:00
