trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,T,D1,fast,narrow,,,,,,,,,353574.575,356554.407,True
B1_T02,1,VT,D7,fast,narrow,358475.057,358475.057,358823.205,359004.473,358475.057,359296.409,359436.117,359616.601,358475.057,359546.850,True
B1_T03,1,V,,slow,narrow,362303.989,362303.989,362887.976,363180.565,362303.989,363667.577,363918.292,364196.586,,,False
B1_T04,1,VT,D6,fast,narrow,367050.552,367050.552,367398.986,367566.873,367050.552,367873.511,368011.736,368192.551,367398.986,370252.888,True
B1_T05,1,VT,D2,slow,narrow,372549.771,372549.771,373134.874,373427.077,372549.771,373914.469,374164.724,374443.976,374164.724,375264.906,True
B1_T06,1,V,,slow,narrow,377366.796,377366.796,377952.097,378243.840,377366.796,378731.191,378981.765,379260.248,,,False
B1_T07,1,V,,fast,narrow,381571.373,381571.373,381919.796,382100.450,381571.373,382393.031,382531.906,382713.200,,,False
B1_T08,1,VT,D5,slow,wide,385080.120,385080.120,385664.316,385956.972,385080.120,386444.487,386695.029,386973.182,385956.972,386040.572,True
B1_T09,1,VT,D7,fast,narrow,389673.996,389673.996,390022.455,390202.921,389673.996,390495.042,390634.171,390815.463,389673.996,390689.996,True
B1_T10,1,T,D6,fast,wide,,,,,,,,,393724.874,396635.486,True
B1_T11,1,VT,D1,slow,wide,398319.244,398319.244,398904.042,399196.337,398319.244,399683.749,399934.246,400212.815,400212.815,399780.986,True
B1_T12,1,VT,D6,slow,wide,402426.296,402426.296,403010.854,403303.539,402426.296,403790.468,404041.464,404319.705,403010.854,403957.804,True
B1_T13,1,VT,D4,slow,wide,406895.456,406895.456,407480.369,407769.192,406895.456,408259.978,408510.618,408789.096,406895.456,408037.748,True
B1_T14,1,T,D3,fast,narrow,,,,,,,,,412296.932,414802.974,True
B1_T15,1,V,,slow,wide,417044.645,417044.645,417629.248,417921.566,417044.645,418409.439,418659.471,418937.771,,418951.672,True
