Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
89.458253,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
91.770243,pps_vib_fired,PRACTICE_T01,,,,D4,127
95.764983,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
96.627851,pps_vib_fired,PRACTICE_T02,,,,D4,127
101.292101,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
104.535619,pps_response,,,,,,62
107.069338,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
108.113962,pps_response,,,,,,62
111.733316,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
114.824034,pps_response,,,,,,62
117.776131,pps_trial_start,PRACTICE_T02,Both,,,45,45
118.778130,pps_response,,,,,,62
120.073001,pps_vib_fired,PRACTICE_T02,,,,D4,127
123.746764,pps_trial_start,PRACTICE_T03,Both,,,46,46
124.597531,pps_vib_fired,PRACTICE_T03,,,,D4,127
124.735746,pps_response,,,,,,62
127.563156,pps_session_start,,,,,,61
130.500608,pps_trial_start,B1_T01,Both,,,58,58
130.626327,pps_vib_fired,B1_T01,,,,D7,127
134.426847,pps_trial_start,B1_T02,VisualOnly,,,2,2
135.749642,pps_response,,,,,,62
137.336302,pps_trial_start,B1_T03,Both,,,53,53
138.297635,pps_vib_fired,B1_T03,,,,D6,127
143.434450,pps_trial_start,B1_T04,TactileOnly,,,10,10
144.799312,pps_vib_fired,B1_T04,,,,D2,127
147.820741,pps_trial_start,B1_T05,Both,,,33,33
148.920360,pps_response,,,,,,62
152.122443,pps_vib_fired,B1_T05,,,,D1,127
153.514693,pps_trial_start,B1_T06,TactileOnly,,,25,25
154.197024,pps_response,,,,,,62
154.489153,pps_vib_fired,B1_T06,,,,D6,127
159.612467,pps_trial_start,B1_T07,TactileOnly,,,17,17
160.558295,pps_response,,,,,,62
161.922629,pps_vib_fired,B1_T07,,,,D4,127
165.167563,pps_trial_start,B1_T08,Both,,,46,46
165.723523,pps_response,,,,,,62
166.029887,pps_vib_fired,B1_T08,,,,D4,127
168.300283,pps_trial_start,B1_T09,Both,,,42,42
169.246528,pps_response,,,,,,62
169.413664,pps_vib_fired,B1_T09,,,,D3,127
171.334964,pps_trial_start,B1_T10,TactileOnly,,,21,21
172.977474,pps_vib_fired,B1_T10,,,,D5,127
177.249962,pps_trial_start,B1_T11,TactileOnly,,,14,14
178.364658,pps_vib_fired,B1_T11,,,,D3,127
192.329603,pps_session_end,,,,,,61
0.000000,session_end,,,,,,57
