subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
PANCAKE 5,1,1,1,VT,0,fast,narrow,D7,130500.608,130500.608,130626.327,130626.327,130862.398,131113.025,131364.145,131614.453,131865.462,132116.257,130626.327,,,3.500,3.500,0.150,None,0,2026-07-22T17:09:26.7353567+02:00
PANCAKE 5,1,1,2,V,1,fast,narrow,,134426.847,134426.847,134552.792,134552.792,134788.662,135039.078,135289.865,135540.604,135791.618,136041.843,,135749.642,,,3.500,0.150,None,0,2026-07-22T17:09:30.1041173+02:00
PANCAKE 5,1,1,3,VT,0,slow,narrow,D6,137336.302,137336.302,137642.528,137642.528,138297.635,138966.031,139633.841,140301.818,140970.227,141639.128,138297.635,,,2.942,3.500,0.150,None,0,2026-07-22T17:09:36.0633900+02:00
PANCAKE 5,1,1,4,T,0,fast,narrow,D2,143434.450,,,,,,,,,,144799.312,,,0.708,3.500,0.150,None,0,2026-07-22T17:09:40.4488916+02:00
PANCAKE 5,1,1,5,VT,1,slow,narrow,D1,147820.741,147820.741,148126.576,148126.576,148781.156,149449.407,150118.000,150785.699,151454.150,152122.443,152122.443,148920.360,-3202.1,0.150,3.500,0.150,None,0,2026-07-22T17:09:46.1847573+02:00
PANCAKE 5,1,1,6,T,1,slow,narrow,D6,153514.693,,,,,,,,,,154489.153,154197.024,-292.1,2.942,3.500,0.150,None,0,2026-07-22T17:09:51.8792775+02:00
PANCAKE 5,1,1,7,T,1,slow,narrow,D4,159612.467,,,,,,,,,,161922.629,160558.295,-1364.3,1.825,3.500,0.150,None,0,2026-07-22T17:09:57.9769433+02:00
PANCAKE 5,1,1,8,VT,1,fast,narrow,D4,165167.563,165167.563,165292.204,165292.204,165528.618,165778.989,166029.887,166280.642,166531.516,166782.097,166029.887,165723.523,-306.4,1.825,3.500,0.150,None,0,2026-07-22T17:10:00.8442116+02:00
PANCAKE 5,1,1,9,VT,1,fast,narrow,D3,168300.283,168300.283,168425.721,168425.721,168662.257,168912.550,169163.162,169413.664,169664.486,169915.419,169413.664,169246.528,-167.1,1.267,3.500,0.150,None,0,2026-07-22T17:10:03.9775935+02:00
PANCAKE 5,1,1,10,T,0,slow,narrow,D5,171334.964,,,,,,,,,,172977.474,,,2.383,3.500,0.150,None,0,2026-07-22T17:10:10.0470517+02:00
PANCAKE 5,1,1,11,T,0,fast,narrow,D3,177249.962,,,,,,,,,,178364.658,,,1.267,3.500,0.150,None,0,2026-07-22T17:10:26.3795815+02:00
