Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
28.486433,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
29.767020,pps_response,,,,,,62
30.797021,pps_vib_fired,PRACTICE_T01,,,,D4,127
34.305828,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
35.057627,pps_response,,,,,,62
35.169281,pps_vib_fired,PRACTICE_T02,,,,D4,127
38.942174,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
39.846844,pps_response,,,,,,62
44.468799,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
44.621819,pps_response,,,,,,62
49.299955,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
49.662248,pps_response,,,,,,62
0.000000,session_end,,,,,,57
