subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
PANCAKE12,1,1,1,T,0,slow,narrow,D5,207522.888,,,,,,,,,,209165.938,,,2.383,3.500,0.150,None,0,2026-07-23T10:28:04.1970112+02:00
PANCAKE12,1,1,2,VT,1,slow,narrow,D2,213787.057,213787.057,214093.845,214093.845,214747.949,215416.183,216083.963,216752.315,217419.993,218087.953,217419.993,216389.921,-1030.1,0.708,3.500,0.150,None,0,2026-07-23T10:28:10.0537195+02:00
PANCAKE12,1,1,3,V,1,slow,narrow,,219577.758,219577.758,219884.340,219884.340,220538.895,221207.490,221875.006,222542.845,223210.496,223879.133,,223711.730,,,3.500,0.150,None,0,2026-07-23T10:28:15.8444016+02:00
PANCAKE12,1,1,4,VT,1,fast,narrow,D4,225493.605,225493.605,225619.306,225619.306,225855.517,226106.197,226356.457,226607.686,226858.370,227108.270,226356.457,227095.040,738.6,1.825,3.500,0.150,None,0,2026-07-23T10:28:19.0756460+02:00
PANCAKE12,1,1,5,T,0,fast,narrow,D4,228695.613,,,,,,,,,,229558.265,,,1.825,3.500,0.150,None,0,2026-07-23T10:28:23.2503153+02:00
PANCAKE12,1,1,6,T,1,slow,narrow,D2,232606.252,,,,,,,,,,236240.833,236295.634,54.8,0.708,3.500,0.150,None,0,2026-07-23T10:28:28.8603382+02:00
PANCAKE12,1,1,7,VT,0,slow,narrow,D7,238649.576,238649.576,238955.937,238955.937,239609.566,240276.827,240945.043,241613.624,242281.856,242950.215,238955.937,,,3.500,3.500,0.150,None,0,2026-07-23T10:28:35.3195096+02:00
PANCAKE12,1,1,8,V,1,slow,narrow,,244870.587,244870.587,245176.804,245176.804,245831.168,246499.128,247167.578,247835.941,248503.480,249171.517,,245774.999,,,3.500,0.150,None,0,2026-07-23T10:28:41.1383413+02:00
PANCAKE12,1,1,9,V,1,fast,narrow,,250661.089,250661.089,250786.242,250786.242,251022.787,251273.795,251524.229,251775.140,252025.472,252276.125,,250841.887,,,3.500,0.150,None,0,2026-07-23T10:28:44.2429508+02:00
PANCAKE12,1,1,10,V,1,slow,narrow,,253751.090,253751.090,254058.184,254058.184,254712.112,255380.996,256048.707,256716.901,257384.786,258052.542,,254211.305,,,3.500,0.150,None,0,2026-07-23T10:28:50.0191857+02:00
