Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
122.106201,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
124.404849,pps_vib_fired,PRACTICE_T01,,,,D4,127
128.970763,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
129.834770,pps_vib_fired,PRACTICE_T02,,,,D4,127
130.655196,pps_response,,,,,,62
133.425861,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
136.489654,pps_response,,,,,,62
138.994953,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
140.344790,pps_response,,,,,,62
143.436047,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
146.861236,pps_response,,,,,,62
149.130663,pps_trial_start,PRACTICE_T02,Both,,,45,45
151.427735,pps_vib_fired,PRACTICE_T02,,,,D4,127
151.901579,pps_response,,,,,,62
155.158568,pps_trial_start,PRACTICE_T03,Both,,,46,46
155.965871,pps_response,,,,,,62
156.022401,pps_vib_fired,PRACTICE_T03,,,,D4,127
158.443471,pps_session_start,,,,,,61
160.963385,pps_trial_start,B1_T01,Both,,,49,49
162.592465,pps_vib_fired,B1_T01,,,,D5,127
167.633021,pps_trial_start,B1_T02,VisualOnly,,,1,1
168.565918,pps_response,,,,,,62
173.326643,pps_trial_start,B1_T03,Both,,,37,37
174.565485,pps_response,,,,,,62
176.959804,pps_vib_fired,B1_T03,,,,D2,127
179.035491,pps_trial_start,B1_T04,TactileOnly,,,13,13
179.912051,pps_response,,,,,,62
182.014362,pps_vib_fired,B1_T04,,,,D3,127
184.672715,pps_trial_start,B1_T05,VisualOnly,,,1,1
187.541342,pps_response,,,,,,62
190.339589,pps_trial_start,B1_T06,VisualOnly,,,2,2
190.715416,pps_response,,,,,,62
193.597371,pps_trial_start,B1_T07,VisualOnly,,,1,1
199.402386,pps_trial_start,B1_T08,VisualOnly,,,1,1
204.970926,pps_trial_start,B1_T09,Both,,,49,49
206.599732,pps_vib_fired,B1_T09,,,,D5,127
209.872586,pps_session_end,,,,,,61
0.000000,session_end,,,,,,57
