Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
75.134187,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
76.134643,pps_response,,,,,,62
78.634691,pps_vib_fired,PRACTICE_T01,,,,D4,127
82.120224,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
83.286918,pps_vib_fired,PRACTICE_T02,,,,D4,127
89.950319,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
91.646038,pps_response,,,,,,62
96.838776,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
103.546073,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
110.739817,pps_trial_start,PRACTICE_T02,Both,,,45,45
114.239772,pps_vib_fired,PRACTICE_T02,,,,D4,127
114.378324,pps_response,,,,,,62
117.502414,pps_trial_start,PRACTICE_T03,Both,,,46,46
118.002344,pps_response,,,,,,62
118.668620,pps_vib_fired,PRACTICE_T03,,,,D4,127
122.000596,pps_session_start,,,,,,61
125.249458,pps_trial_start,B1_T01,Both,,,41,41
126.679862,pps_response,,,,,,62
129.415759,pps_vib_fired,B1_T01,,,,D3,127
132.081784,pps_trial_start,B1_T02,TactileOnly,,,25,25
132.776361,pps_response,,,,,,62
134.249640,pps_vib_fired,B1_T02,,,,D6,127
138.915053,pps_trial_start,B1_T03,VisualOnly,,,2,2
142.316165,pps_trial_start,B1_T04,Both,,,37,37
142.496850,pps_response,,,,,,62
147.162287,pps_vib_fired,B1_T04,,,,D2,127
149.120766,pps_trial_start,B1_T05,VisualOnly,,,1,1
154.399349,pps_response,,,,,,62
156.175720,pps_trial_start,B1_T06,Both,,,34,34
156.843095,pps_response,,,,,,62
158.009433,pps_vib_fired,B1_T06,,,,D1,127
159.703151,pps_trial_start,B1_T07,Both,,,42,42
160.633435,pps_response,,,,,,62
161.092692,pps_vib_fired,B1_T07,,,,D3,127
163.189512,pps_trial_start,B1_T08,Both,,,53,53
165.355149,pps_vib_fired,B1_T08,,,,D6,127
172.158808,pps_trial_start,B1_T09,Both,,,46,46
173.312561,pps_vib_fired,B1_T09,,,,D4,127
176.880453,pps_trial_start,B1_T10,VisualOnly,,,1,1
177.894599,pps_response,,,,,,62
183.754970,pps_trial_start,B1_T11,VisualOnly,,,1,1
184.310128,pps_response,,,,,,62
191.073150,pps_trial_start,B1_T12,Both,,,34,34
191.822989,pps_response,,,,,,62
192.905926,pps_vib_fired,B1_T12,,,,D1,127
194.488605,pps_trial_start,B1_T13,Both,,,38,38
195.197456,pps_response,,,,,,62
196.100469,pps_vib_fired,B1_T13,,,,D2,127
197.613614,pps_trial_start,B1_T14,TactileOnly,,,17,17
201.126769,pps_vib_fired,B1_T14,,,,D4,127
205.069815,pps_trial_start,B1_T15,Both,,,58,58
205.584084,pps_vib_fired,B1_T15,,,,D7,127
205.945495,pps_response,,,,,,62
208.528682,pps_trial_start,B1_T16,VisualOnly,,,2,2
209.055952,pps_response,,,,,,62
212.152803,pps_trial_start,B1_T17,Both,,,53,53
212.790566,pps_response,,,,,,62
214.332265,pps_vib_fired,B1_T17,,,,D6,127
219.360283,pps_trial_start,B1_T18,Both,,,53,53
220.123468,pps_response,,,,,,62
221.540399,pps_vib_fired,B1_T18,,,,D6,127
226.358666,pps_trial_start,B1_T19,Both,,,33,33
230.163005,pps_response,,,,,,62
231.870458,pps_vib_fired,B1_T19,,,,D1,127
233.411908,pps_trial_start,B1_T20,Both,,,33,33
233.995571,pps_response,,,,,,62
238.911546,pps_vib_fired,B1_T20,,,,D1,127
238.925204,pps_attention_check_shown,,,,,,61
246.090645,pps_attention_check_done,,,,,,61
247.631850,pps_trial_start,B1_T21,Both,,,54,54
248.271010,pps_response,,,,,,62
248.354041,pps_vib_fired,B1_T21,,,,D6,127
250.729361,pps_trial_start,B1_T22,TactileOnly,,,10,10
252.340999,pps_vib_fired,B1_T22,,,,D2,127
255.770222,pps_trial_start,B1_T23,TactileOnly,,,6,6
257.617597,pps_vib_fired,B1_T23,,,,D1,127
275.601176,pps_trial_start,B1_T24,TactileOnly,,,18,18
276.781388,pps_vib_fired,B1_T24,,,,D4,127
276.878877,pps_response,,,,,,62
279.169954,pps_trial_start,B1_T25,Both,,,38,38
280.794373,pps_vib_fired,B1_T25,,,,D2,127
280.946617,pps_response,,,,,,62
282.335809,pps_trial_start,B1_T26,Both,,,57,57
283.835008,pps_vib_fired,B1_T26,,,,D7,127
292.096432,pps_trial_start,B1_T27,Both,,,49,49
293.861816,pps_response,,,,,,62
294.930960,pps_vib_fired,B1_T27,,,,D5,127
0.000000,session_end,,,,,,57
