subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
PANCAKE,1,1,1,VT,1,slow,narrow,D3,125249.458,125249.458,126748.799,126748.799,127402.676,128069.783,128748.938,129415.759,130082.387,130748.751,129415.759,126679.862,-2735.9,0.917,2.250,0.250,None,0,2026-07-27T14:47:37.6953288+02:00
PANCAKE,1,1,2,T,1,slow,narrow,D6,132081.784,,,,,,,,,,134249.640,132776.361,-1473.3,1.917,2.250,0.250,None,0,2026-07-27T14:47:44.5270568+02:00
PANCAKE,1,1,3,V,0,fast,narrow,,138915.053,138915.053,139414.826,139414.826,139623.231,139858.906,140083.433,140302.678,140524.888,140747.422,,,,,2.250,0.250,None,0,2026-07-27T14:47:47.6925812+02:00
PANCAKE,1,1,4,VT,1,slow,narrow,D2,142316.165,142316.165,143830.096,143830.096,144496.440,145162.819,145829.678,146495.729,147162.287,147828.844,147162.287,142496.850,-4665.4,0.583,2.250,0.250,None,0,2026-07-27T14:47:54.7742218+02:00
PANCAKE,1,1,5,V,1,slow,narrow,,149120.766,149120.766,150620.722,150620.722,151274.234,151941.044,152607.716,153274.417,153941.256,154607.294,,154399.349,,,2.250,0.250,None,0,2026-07-27T14:48:01.5661807+02:00
PANCAKE,1,1,6,VT,1,fast,narrow,D1,156175.720,156175.720,156676.051,156676.051,156899.053,157121.201,157343.195,157565.491,157787.720,158009.433,158009.433,156843.095,-1166.3,0.250,2.250,0.250,None,0,2026-07-27T14:48:04.9535885+02:00
PANCAKE,1,1,7,VT,1,fast,narrow,D3,159703.151,159703.151,160216.584,160216.584,160425.503,160647.982,160869.872,161092.692,161314.430,161536.565,161092.692,160633.435,-459.3,0.917,2.250,0.250,None,0,2026-07-27T14:48:08.4820123+02:00
PANCAKE,1,1,8,VT,0,slow,narrow,D6,163189.512,163189.512,164688.815,164688.815,165355.149,166021.885,166687.875,167354.218,168020.587,168687.226,165355.149,,,1.917,2.250,0.250,None,0,2026-07-27T14:48:17.4936135+02:00
PANCAKE,1,1,9,VT,0,fast,narrow,D4,172158.808,172158.808,172659.376,172659.376,172881.774,173104.661,173312.561,173548.470,173770.906,173979.482,173312.561,,,1.250,2.250,0.250,None,0,2026-07-27T14:48:22.0895015+02:00
PANCAKE,1,1,10,V,1,slow,narrow,,176880.453,176880.453,178393.939,178393.939,179046.611,179713.333,180380.555,181047.239,181713.500,182379.987,,177894.599,,,2.250,0.250,None,0,2026-07-27T14:48:29.3251048+02:00
PANCAKE,1,1,11,V,1,slow,narrow,,183754.970,183754.970,185269.434,185269.434,185934.632,186601.640,187267.938,187934.696,188601.371,189254.025,,184310.128,,,2.250,0.250,None,0,2026-07-27T14:48:36.2130921+02:00
PANCAKE,1,1,12,VT,1,fast,narrow,D1,191073.150,191073.150,191586.849,191586.849,191795.329,192017.303,192239.227,192461.804,192698.070,192905.926,192905.926,191822.989,-1082.9,0.250,2.250,0.250,None,0,2026-07-27T14:48:39.8515855+02:00
PANCAKE,1,1,13,VT,1,fast,narrow,D2,194488.605,194488.605,194988.843,194988.843,195211.691,195419.983,195655.554,195878.358,196100.469,196308.961,196100.469,195197.456,-903.0,0.583,2.250,0.250,None,0,2026-07-27T14:48:43.2538185+02:00
PANCAKE,1,1,14,T,0,slow,narrow,D4,197613.614,,,,,,,,,,201126.769,,,1.250,2.250,0.250,None,0,2026-07-27T14:48:50.5157285+02:00
PANCAKE,1,1,15,VT,1,fast,narrow,D7,205069.815,205069.815,205584.084,205584.084,205792.160,206014.561,206236.332,206458.545,206681.282,206903.155,205584.084,205945.495,361.4,2.250,2.250,0.250,None,0,2026-07-27T14:48:53.8483883+02:00
PANCAKE,1,1,16,V,1,fast,narrow,,208528.682,208528.682,209042.244,209042.244,209264.987,209487.176,209695.203,209917.581,210153.496,210361.924,,209055.952,,,2.250,0.250,None,0,2026-07-27T14:48:57.3075274+02:00
PANCAKE,1,1,17,VT,1,slow,narrow,D6,212152.803,212152.803,213665.314,213665.314,214332.265,214998.972,215666.528,216333.123,216999.676,217652.533,214332.265,212790.566,-1541.7,1.917,2.250,0.250,None,0,2026-07-27T14:49:04.5977244+02:00
PANCAKE,1,1,18,VT,1,slow,narrow,D6,219360.283,219360.283,220873.558,220873.558,221540.399,222207.168,222873.512,223539.785,224192.934,224872.697,221540.399,220123.468,-1416.9,1.917,2.250,0.250,None,0,2026-07-27T14:49:11.8184667+02:00
PANCAKE,1,1,19,VT,1,slow,narrow,D1,226358.666,226358.666,227871.511,227871.511,228525.361,229191.056,229871.242,230537.754,231203.956,231870.458,231870.458,230163.005,-1707.5,0.250,2.250,0.250,None,0,2026-07-27T14:49:18.8160613+02:00
PANCAKE,1,1,20,VT,1,slow,narrow,D1,233411.908,233411.908,234912.738,234912.738,235578.753,236246.060,236911.958,237578.282,238244.838,238911.546,238911.546,233995.571,-4916.0,0.250,2.250,0.250,None,0,2026-07-27T14:49:25.8562119+02:00
PANCAKE,1,1,21,VT,1,fast,narrow,D6,247631.850,247631.850,248146.249,248146.249,248354.041,248576.566,248812.153,249034.860,249256.870,249479.176,248354.041,248271.010,-83.0,1.917,2.250,0.250,None,0,2026-07-27T14:49:36.4246436+02:00
PANCAKE,1,1,22,T,0,fast,narrow,D2,250729.361,,,,,,,,,,252340.999,,,0.583,2.250,0.250,None,0,2026-07-27T14:49:41.0361529+02:00
PANCAKE,1,1,23,T,0,fast,narrow,D1,255770.222,,,,,,,,,,257617.597,,,0.250,2.250,0.250,None,0,2026-07-27T14:50:00.8798994+02:00
PANCAKE,1,1,24,T,1,fast,narrow,D4,275601.176,,,,,,,,,,276781.388,276878.877,97.5,1.250,2.250,0.250,None,0,2026-07-27T14:50:04.3791574+02:00
PANCAKE,1,1,25,VT,1,fast,narrow,D2,279169.954,279169.954,279682.693,279682.693,279916.443,280127.456,280348.923,280571.559,280794.373,281002.800,280794.373,280946.617,152.2,0.583,2.250,0.250,None,0,2026-07-27T14:50:07.9467876+02:00
PANCAKE,1,1,26,VT,0,slow,narrow,D7,282335.809,282335.809,283835.008,283835.008,284501.574,285154.667,285821.224,286487.642,287167.793,287834.035,283835.008,,,2.250,2.250,0.250,None,0,2026-07-27T14:50:17.2358641+02:00
PANCAKE,1,1,27,VT,1,slow,narrow,D5,292096.432,292096.432,293597.571,293597.571,294264.000,294930.960,295597.197,296263.603,296929.932,297596.585,294930.960,293861.816,-1069.1,1.583,2.250,0.250,None,0,2026-07-27T14:50:24.5419013+02:00
