Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
88.129371,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
91.596871,pps_response,,,,,,62
91.638810,pps_vib_fired,PRACTICE_T01,,,,D4,127
95.120612,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
96.176936,pps_response,,,,,,62
96.441554,pps_vib_fired,PRACTICE_T02,,,,D4,127
101.300601,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
103.417228,pps_response,,,,,,62
108.456603,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
113.425402,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
120.220298,pps_trial_start,PRACTICE_T02,Both,,,45,45
123.715547,pps_vib_fired,PRACTICE_T02,,,,D4,127
142.786613,pps_trial_start,PRACTICE_T03,Both,,,46,46
144.095536,pps_vib_fired,PRACTICE_T03,,,,D4,127
149.804914,pps_session_start,,,,,,61
151.906392,pps_trial_start,B1_T01,Both,,,58,58
152.477478,pps_vib_fired,B1_T01,,,,D7,127
152.616712,pps_response,,,,,,62
155.763970,pps_trial_start,B1_T02,Both,,,33,33
156.682814,pps_response,,,,,,62
161.263184,pps_vib_fired,B1_T02,,,,D1,127
162.808399,pps_trial_start,B1_T03,TactileOnly,,,5,5
163.379515,pps_response,,,,,,62
168.321590,pps_vib_fired,B1_T03,,,,D1,127
169.588355,pps_trial_start,B1_T04,Both,,,53,53
170.549959,pps_response,,,,,,62
171.746616,pps_vib_fired,B1_T04,,,,D6,127
176.813764,pps_trial_start,B1_T05,TactileOnly,,,5,5
0.000000,session_end,,,,,,57
