Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
88.957706,phase_intro,,,,,,51
93.688080,phase_controller_practice,,,,,,32
104.785910,phase_difficult_practice,,,,,,35
106.429266,trial_spawn,PRACTICE_T01,near_hit,Hit,,7,7
108.726692,controller_right,,,,,,41
113.442861,trial_spawn,PRACTICE_T02,near_miss,Miss,,13,13
115.574170,controller_right,,,,,,41
120.100194,trial_spawn,PRACTICE_T03,clear_miss,Miss,,19,19
120.769237,controller_right,,,,,,41
126.881171,trial_spawn,PRACTICE_T04,clear_hit,Hit,,1,1
127.994775,controller_left,,,,,,40
131.794640,block_end,,,,,,30
138.978579,phase_block,,,,,,25
138.992800,trial_spawn,B1_T01,near_miss,Miss,,16,16
139.925099,controller_right,,,,,,41
140.148218,controller_left,,,,,,40
143.796352,trial_spawn,B1_T02,clear_hit,Hit,,5,5
144.617530,controller_left,,,,,,40
148.459813,trial_spawn,B1_T03,near_miss,Miss,,17,17
149.044192,controller_right,,,,,,41
153.693491,trial_spawn,B1_T04,near_hit,Hit,,11,11
154.391257,controller_left,,,,,,40
158.553054,trial_spawn,B1_T05,clear_hit,Hit,,3,3
159.416528,controller_right,,,,,,41
160.641495,controller_left,,,,,,40
165.583668,trial_spawn,B1_T06,near_miss,Miss,,14,14
166.530643,controller_right,,,,,,41
171.960838,trial_spawn,B1_T07,near_hit,Hit,,8,8
173.032766,controller_left,,,,,,40
178.322477,trial_spawn,B1_T08,near_miss,Miss,,18,18
179.157918,controller_right,,,,,,41
183.195252,trial_spawn,B1_T09,near_hit,Hit,,11,11
183.961008,controller_right,,,,,,41
188.387973,trial_spawn,B1_T10,near_miss,Miss,,17,17
189.209566,controller_right,,,,,,41
193.232871,trial_spawn,B1_T11,near_hit,Hit,,9,9
194.207470,controller_left,,,,,,40
200.096212,trial_spawn,B1_T12,near_miss,Miss,,14,14
201.531212,controller_right,,,,,,41
207.196963,trial_spawn,B1_T13,clear_miss,Miss,,20,20
207.935014,controller_right,,,,,,41
213.935332,trial_spawn,B1_T14,near_hit,Hit,,12,12
214.561937,controller_right,,,,,,41
218.389976,trial_spawn,B1_T15,near_miss,Miss,,17,17
219.142328,controller_left,,,,,,40
223.583373,trial_spawn,B1_T16,near_hit,Hit,,11,11
224.682924,controller_right,,,,,,41
228.956681,trial_spawn,B1_T17,near_miss,Miss,,15,15
231.351367,controller_left,,,,,,40
235.569936,trial_spawn,B1_T18,near_hit,Hit,,8,8
236.669659,controller_left,,,,,,40
242.628278,trial_spawn,B1_T19,clear_hit,Hit,,2,2
244.480234,controller_left,,,,,,40
249.019051,trial_spawn,B1_T20,near_hit,Hit,,12,12
250.271954,controller_left,,,,,,40
254.044312,trial_spawn,B1_T21,clear_hit,Hit,,5,5
255.158635,controller_left,,,,,,40
259.348863,trial_spawn,B1_T22,near_hit,Hit,,11,11
260.323637,controller_left,,,,,,40
264.680900,trial_spawn,B1_T23,near_miss,Miss,,17,17
265.613645,controller_left,,,,,,40
265.850189,controller_left,,,,,,40
269.957866,trial_spawn,B1_T24,near_hit,Hit,,9,9
271.878799,controller_left,,,,,,40
276.557094,trial_spawn,B1_T25,near_miss,Miss,,14,14
278.491847,controller_right,,,,,,41
283.129536,trial_spawn,B1_T26,near_hit,Hit,,8,8
285.371488,controller_left,,,,,,40
290.381169,trial_spawn,B1_T27,clear_miss,Miss,,20,20
292.679120,controller_right,,,,,,41
297.623743,trial_spawn,B1_T28,near_miss,Miss,,18,18
298.846836,controller_right,,,,,,41
302.633506,trial_spawn,B1_T29,near_hit,Hit,,11,11
303.427307,controller_left,,,,,,40
308.061970,trial_spawn,B1_T30,clear_hit,Hit,,5,5
308.911488,controller_right,,,,,,41
309.093060,controller_left,,,,,,40
313.491637,trial_spawn,B1_T31,near_hit,Hit,,11,11
314.355925,controller_left,,,,,,40
318.587447,trial_spawn,B1_T32,clear_miss,Miss,,21,21
319.756777,controller_right,,,,,,41
325.424019,trial_spawn,B1_T33,near_hit,Hit,,8,8
326.650115,controller_left,,,,,,40
331.855425,trial_spawn,B1_T34,clear_hit,Hit,,2,2
332.927818,controller_left,,,,,,40
338.621473,trial_spawn,B1_T35,near_hit,Hit,,8,8
342.143737,controller_left,,,,,,40
345.123380,trial_spawn,B1_T36,clear_miss,Miss,,20,20
346.112008,controller_left,,,,,,40
351.904823,trial_spawn,B1_T37,near_miss,Miss,,18,18
353.227523,controller_right,,,,,,41
357.320021,trial_spawn,B1_T38,near_hit,Hit,,11,11
358.169546,controller_left,,,,,,40
362.205114,trial_spawn,B1_T39,clear_miss,Miss,,23,23
362.942987,controller_right,,,,,,41
366.757218,trial_spawn,B1_T40,near_miss,Miss,,17,17
367.467472,controller_right,,,,,,41
371.588291,trial_spawn,B1_T41,near_hit,Hit,,11,11
372.215043,controller_right,,,,,,41
376.182355,trial_spawn,B1_T42,clear_hit,Hit,,5,5
376.836820,controller_left,,,,,,40
381.389512,trial_spawn,B1_T43,near_miss,Miss,,15,15
382.642363,controller_right,,,,,,41
388.643172,trial_spawn,B1_T44,clear_hit,Hit,,2,2
389.575701,controller_left,,,,,,40
395.952174,trial_spawn,B1_T45,near_hit,Hit,,8,8
396.927377,controller_left,,,,,,40
403.163902,trial_spawn,B1_T46,near_miss,Miss,,18,18
404.012723,controller_right,,,,,,41
407.855060,trial_spawn,B1_T47,near_hit,Hit,,11,11
408.579007,controller_left,,,,,,40
412.449544,trial_spawn,B1_T48,near_miss,Miss,,17,17
415.413820,trial_too_slow,,,,,,31
425.717669,controller_right,,,,,,41
425.717669,trial_spawn,B1_T49,near_hit,Hit,,9,9
427.959239,controller_left,,,,,,40
432.428235,trial_spawn,B1_T50,near_miss,Miss,,14,14
433.904664,controller_right,,,,,,41
