subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
P001,1,1,1,VT,1,slow,narrow,D3,341221.999,341221.999,342735.681,342735.681,343388.565,344055.255,344735.478,345402.181,346068.445,346735.160,345402.181,345680.032,277.9,0.917,2.250,0.250,None,0,2026-07-23T15:18:54.3722781+02:00
P001,1,1,2,VT,1,slow,narrow,D4,348165.368,348165.368,349678.964,349678.964,350345.429,351011.820,351678.478,352345.303,353011.554,353678.159,351678.478,351984.266,305.8,1.250,2.250,0.250,None,0,2026-07-23T15:19:01.3137977+02:00
P001,1,1,3,T,1,slow,narrow,D3,355288.981,,,,,,,,,,359468.809,359857.587,388.8,0.917,2.250,0.250,None,0,2026-07-23T15:19:08.4373835+02:00
P001,1,1,4,V,0,fast,narrow,,362246.320,362246.320,362746.254,362746.254,362968.225,363177.006,363413.262,363634.767,363857.106,364079.406,,,,,2.250,0.250,None,0,2026-07-23T15:19:11.7147625+02:00
P001,1,1,5,VT,1,fast,narrow,D6,365454.299,365454.299,365954.229,365954.229,366176.464,366398.602,366620.847,366843.408,367070.042,367287.373,366176.464,366537.233,360.8,1.917,2.250,0.250,None,0,2026-07-23T15:19:14.9234452+02:00
P001,1,1,6,V,0,fast,narrow,,368704.307,368704.307,369218.050,369218.050,369426.353,369662.420,369884.870,370093.072,370328.802,370550.621,,,,,2.250,0.250,None,0,2026-07-23T15:19:18.1865577+02:00
P001,1,1,7,V,0,slow,narrow,,372106.155,372106.155,373605.822,373605.822,374259.254,374938.976,375605.611,376272.388,376938.821,377604.815,,,,,2.250,0.250,None,0,2026-07-23T15:19:25.2403117+02:00
P001,1,1,8,T,1,slow,narrow,D1,379021.450,,,,,,,,,,384535.637,385258.815,723.2,0.250,2.250,0.250,None,0,2026-07-23T15:19:32.8835752+02:00
P001,1,1,9,VT,1,slow,narrow,D2,386603.739,386603.739,388117.354,388117.354,388782.135,389450.675,390116.788,390783.622,391450.642,392117.548,391450.642,391853.147,402.5,0.583,2.250,0.250,None,0,2026-07-23T15:19:39.7535618+02:00
P001,1,1,10,V,0,slow,narrow,,393534.206,393534.206,395048.993,395048.993,395714.802,396381.223,397047.315,397713.782,398380.555,399046.896,,,,,2.250,0.250,None,0,2026-07-23T15:19:46.6823791+02:00
P001,1,1,11,V,0,fast,narrow,,400601.953,400601.953,401102.059,401102.059,401310.511,401546.295,401768.414,401990.290,402212.932,402435.074,,,,,2.250,0.250,None,0,2026-07-23T15:19:50.0710213+02:00
P001,1,1,12,VT,0,fast,narrow,D3,404087.563,404087.563,404587.523,404587.523,404809.224,405031.363,405253.544,405475.709,405697.858,405920.082,405475.709,,,0.917,2.250,0.250,None,0,2026-07-23T15:20:02.8623190+02:00
P001,1,1,13,VT,1,slow,narrow,D6,416848.668,416848.668,418362.057,418362.057,419028.559,419695.000,420361.851,421028.340,421694.829,422361.127,419028.559,419431.386,402.8,1.917,2.250,0.250,None,0,2026-07-23T15:20:09.9973577+02:00
P001,1,1,14,VT,1,slow,narrow,D1,424069.369,424069.369,425583.004,425583.004,426235.842,426916.240,427569.797,428249.257,428915.700,429582.494,429582.494,429998.797,416.3,0.250,2.250,0.250,None,0,2026-07-23T15:20:17.6210081+02:00
P001,1,1,15,VT,1,fast,narrow,D1,431387.493,431387.493,431901.168,431901.168,432122.400,432345.328,432566.968,432789.164,433011.980,433233.853,433233.853,433525.727,291.9,0.250,2.250,0.250,None,0,2026-07-23T15:20:21.1485358+02:00
