subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
P001,1,1,1,near_miss,MISS,none,fast,start-fast,start,-38.76,0,0,0.0000,MISS,932.30,1,0,2026-07-23T16:12:45.7092180+02:00
P001,1,1,2,clear_hit,HIT,fast,fast,fast-fast,repetition,0.00,0,0,0.0000,HIT,821.17,1,0,2026-07-23T16:12:50.4003361+02:00
P001,1,1,3,near_miss,MISS,fast,fast,fast-fast,repetition,-37.78,0,0,0.0000,MISS,584.38,1,0,2026-07-23T16:12:54.8276728+02:00
P001,1,1,4,near_hit,HIT,fast,fast,fast-fast,repetition,23.40,0,0,0.0000,HIT,697.76,1,0,2026-07-23T16:13:00.1804799+02:00
P001,1,1,5,clear_hit,HIT,fast,slow,fast-slow,transition,-8.57,0,0,0.0000,MISS,863.47,0,0,2026-07-23T16:13:05.1996527+02:00
P001,1,1,6,near_miss,MISS,slow,slow,slow-slow,repetition,37.91,0,0,0.0000,MISS,946.98,1,0,2026-07-23T16:13:12.3136243+02:00
P001,1,1,7,near_hit,HIT,slow,slow,slow-slow,repetition,16.54,0,0,0.0000,HIT,1071.93,1,0,2026-07-23T16:13:18.8158855+02:00
P001,1,1,8,near_miss,MISS,slow,fast,slow-fast,transition,39.61,0,0,0.0000,MISS,835.44,1,0,2026-07-23T16:13:24.9464484+02:00
P001,1,1,9,near_hit,HIT,fast,fast,fast-fast,repetition,-25.76,0,0,0.0000,MISS,765.76,0,0,2026-07-23T16:13:29.7439728+02:00
P001,1,1,10,near_miss,MISS,fast,fast,fast-fast,repetition,-37.53,0,0,0.0000,MISS,821.60,1,0,2026-07-23T16:13:34.9926542+02:00
P001,1,1,11,near_hit,HIT,fast,slow,fast-slow,transition,13.71,0,0,0.0000,HIT,974.61,1,0,2026-07-23T16:13:39.9906213+02:00
P001,1,1,12,near_miss,MISS,slow,slow,slow-slow,repetition,32.25,0,0,0.0000,MISS,1435.00,1,0,2026-07-23T16:13:47.3192060+02:00
P001,1,1,13,clear_miss,MISS,slow,slow,slow-slow,repetition,-52.01,0,0,0.0000,MISS,738.05,1,0,2026-07-23T16:13:53.7178224+02:00
P001,1,1,14,near_hit,HIT,slow,fast,slow-fast,transition,20.30,0,0,0.0000,MISS,626.60,0,0,2026-07-23T16:14:00.3451578+02:00
P001,1,1,15,near_miss,MISS,fast,fast,fast-fast,repetition,40.81,0,0,0.0000,HIT,752.36,0,0,2026-07-23T16:14:04.9252851+02:00
P001,1,1,16,near_hit,HIT,fast,fast,fast-fast,repetition,26.64,0,0,0.0000,MISS,1099.55,0,0,2026-07-23T16:14:10.4657448+02:00
P001,1,1,17,near_miss,MISS,fast,slow,fast-slow,transition,37.74,0,0,0.0000,HIT,2394.69,0,0,2026-07-23T16:14:17.1346576+02:00
P001,1,1,18,near_hit,HIT,slow,slow,slow-slow,repetition,-12.76,0,0,0.0000,HIT,1099.73,1,0,2026-07-23T16:14:22.4524168+02:00
P001,1,1,19,clear_hit,HIT,slow,slow,slow-slow,repetition,-3.21,0,0,0.0000,HIT,1851.95,1,0,2026-07-23T16:14:30.2636583+02:00
P001,1,1,20,near_hit,HIT,slow,fast,slow-fast,transition,13.45,0,0,0.0000,HIT,1252.90,1,0,2026-07-23T16:14:36.0553165+02:00
P001,1,1,21,clear_hit,HIT,fast,fast,fast-fast,repetition,0.00,0,0,0.0000,HIT,1114.32,1,0,2026-07-23T16:14:40.9417542+02:00
P001,1,1,22,near_hit,HIT,fast,fast,fast-fast,repetition,16.64,0,0,0.0000,HIT,974.76,1,0,2026-07-23T16:14:46.1065543+02:00
P001,1,1,23,near_miss,MISS,fast,fast,fast-fast,repetition,30.28,0,0,0.0000,HIT,932.74,0,0,2026-07-23T16:14:51.3966610+02:00
P001,1,1,24,near_hit,HIT,fast,slow,fast-slow,transition,-27.18,0,0,0.0000,HIT,1920.94,1,0,2026-07-23T16:14:57.6619967+02:00
P001,1,1,25,near_miss,MISS,slow,slow,slow-slow,repetition,-30.20,0,0,0.0000,MISS,1934.75,1,0,2026-07-23T16:15:04.2793152+02:00
