Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
10.301138,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
11.039134,pps_response,,,,,,62
13.809762,pps_vib_fired,PRACTICE_T01,,,,D4,127
17.538746,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
18.235744,pps_response,,,,,,62
18.861966,pps_vib_fired,PRACTICE_T02,,,,D4,127
22.344193,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
27.815402,pps_response,,,,,,62
29.290997,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
34.386504,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
0.000000,session_end,,,,,,57
