trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D7,fast,narrow,50556.542,50556.542,50835.060,50946.226,51042.586,51167.839,51291.961,51543.862,,51361.435,True
B1_T02,1,V,,fast,narrow,54775.373,54775.373,55039.534,55151.212,55264.630,55394.418,55509.661,55764.548,,55790.302,True
B1_T03,1,T,D5,fast,wide,,,,,,,,,,61011.082,True
B1_T04,1,VT,D1,slow,narrow,63194.133,63194.133,63968.622,64345.010,64691.469,65025.952,65412.437,66178.445,,65815.958,True
B1_T05,1,VT,D1,slow,wide,67429.045,67429.045,68193.638,68589.118,68928.120,69275.122,69649.617,70412.051,,70145.829,True
B1_T06,1,T,D1,slow,narrow,,,,,,,,,,75355.075,True
B1_T07,1,T,D5,fast,narrow,,,,,,,,,,81550.428,True
B1_T08,1,V,,fast,narrow,82757.486,82757.486,83019.896,83133.308,83245.727,83385.818,83496.177,83743.860,,83702.555,True
B1_T09,1,VT,D3,fast,narrow,86965.601,86965.601,87227.558,87344.795,87465.346,87576.803,87700.825,87950.567,,87728.452,True
B1_T10,1,VT,D5,fast,wide,91187.235,91187.235,91440.348,91562.706,91672.763,91797.750,91942.336,92172.528,,91882.191,True
B1_T11,1,VT,D6,fast,wide,95395.164,95395.164,95670.861,95771.571,95895.326,96007.128,96132.608,96380.669,,96047.540,True
B1_T12,1,VT,D3,slow,wide,99617.879,99617.879,100391.793,100768.187,101115.577,101449.599,101837.789,102602.269,,101990.962,True
B1_T13,1,V,,slow,narrow,103838.781,103838.781,104616.010,104992.984,105338.213,105671.767,106048.275,106843.926,,105895.028,True
B1_T14,1,T,D3,fast,wide,,,,,,,,,,112784.013,True
B1_T15,1,V,,slow,narrow,113990.372,113990.372,114767.070,115142.129,115489.384,115837.384,116199.293,116975.019,,116434.850,True
B1_T16,1,T,D2,slow,narrow,,,,,,,,,,120710.968,True
B1_T17,1,VT,D6,slow,narrow,122432.834,122432.834,123208.496,123582.266,123931.984,124266.379,124653.320,125417.457,,125055.123,True
B1_T18,1,VT,D3,fast,wide,126655.361,126655.361,126902.867,127044.288,127155.032,127266.532,127390.553,127640.266,,127416.876,True
B1_T19,1,T,D7,slow,narrow,,,,,,,,,,135361.264,True
B1_T20,1,VT,D1,fast,wide,136568.569,136568.569,136814.477,136945.004,137055.457,137173.206,137303.442,137556.072,,137499.093,True
B1_T21,1,V,,slow,wide,140790.327,140790.327,141554.278,141942.407,142276.514,142617.964,143010.711,143774.764,,142675.745,True
B1_T22,1,VT,D5,slow,narrow,145012.437,145012.437,145789.875,146164.176,146511.668,146844.267,147224.846,147996.802,,146690.873,True
B1_T23,1,V,,fast,narrow,149261.966,149261.966,149572.441,149634.699,149746.721,149858.525,149983.430,150247.251,,149886.799,True
B1_T24,1,VT,D3,slow,wide,153483.123,153483.123,154254.146,154634.283,154981.734,155316.726,155704.807,156468.857,,155650.424,True
B1_T25,1,T,D3,slow,wide,,,,,,,,,,162327.503,True
B1_T26,1,T,D6,fast,wide,,,,,,,,,,168119.768,True
B1_T27,1,VT,D1,slow,wide,169327.169,169327.169,170091.086,170479.935,170814.034,171160.981,171546.538,172312.632,,171686.794,True
B1_T28,1,VT,D2,fast,wide,173547.516,173547.516,173798.423,173923.450,174036.062,174147.038,174284.695,174534.066,,174120.264,True
B1_T29,1,VT,D5,slow,narrow,177756.790,177756.790,178521.935,178908.439,179255.311,179590.913,179978.334,180742.046,,179713.421,True
B1_T30,1,VT,D4,fast,narrow,181977.455,181977.455,182228.721,182352.970,182463.836,182589.317,182714.092,182965.121,,182658.568,True
B1_T31,1,VT,D3,fast,narrow,186201.522,186201.522,186497.020,186588.113,186699.166,186811.202,186935.128,187185.095,,186907.330,True
B1_T32,1,V,,fast,wide,190419.425,190419.425,190679.868,190794.681,190906.309,191017.665,191155.544,191405.952,,191170.637,True
B1_T33,1,T,D4,fast,narrow,,,,,,,,,,199233.337,True
B1_T34,1,VT,D4,fast,narrow,200423.359,200423.359,200688.743,200807.873,200918.431,201030.052,201149.566,201406.106,,201215.702,True
B1_T35,1,VT,D4,slow,narrow,204640.908,204640.908,205404.747,205794.052,206127.930,206474.081,206859.288,207627.829,,206903.210,True
B1_T36,1,VT,D6,slow,wide,208862.953,208862.953,209626.169,210013.887,210360.948,210696.872,211084.557,211848.701,,211195.403,True
B1_T37,1,T,D2,slow,wide,,,,,,,,,,215333.068,True
