subject_id,session_number,block_number,trial_number,trial_type,correct_response,participant_response,accuracy,current_speed,width,distance_level,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,response_made,trial_interrupted,timestamp
25-09-PAMELA-1,1,1,1,V,MISS,HIT,0,fast,narrow,,47754.579,48229.509,48348.677,48480.265,48733.581,,48570.373,,1,0,2026-06-30T13:00:37.0693766+02:00
25-09-PAMELA-1,1,1,1,V,MISS,HIT,0,fast,narrow,,51990.544,52485.186,52592.004,52736.728,52998.843,,52579.765,,1,0,2026-06-30T13:00:41.2804405+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,slow,narrow,D1,56192.701,57682.388,58026.946,58424.376,59181.670,59181.670,57972.248,-1209.4,1,0,2026-06-30T13:00:45.4837059+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,fast,narrow,D4,60408.572,60898.236,61016.942,61138.416,61400.136,60898.236,61086.228,188.0,1,0,2026-06-30T13:00:49.7165343+02:00
25-09-PAMELA-1,1,1,1,V,MISS,HIT,0,fast,narrow,,64616.643,65116.694,65235.539,65355.480,65618.710,,65393.933,,1,0,2026-06-30T13:00:53.9213414+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,slow,wide,D1,68821.326,70317.247,70662.409,71034.802,71807.026,71807.026,71218.259,-588.8,1,0,2026-06-30T13:00:58.1358135+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,fast,narrow,D1,73057.465,73558.621,73667.031,73798.241,74049.145,74049.145,73758.412,-290.7,1,0,2026-06-30T13:01:02.3569954+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,slow,wide,D3,77284.874,78783.034,79111.870,79510.753,80265.194,79111.870,79364.701,252.8,1,0,2026-06-30T13:01:06.5962276+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,slow,narrow,D5,81495.785,82984.119,83340.709,83711.882,84491.560,82653.695,83565.781,912.1,1,0,2026-06-30T13:01:10.7945098+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,slow,wide,D2,85723.276,87217.526,87551.624,87945.033,88715.550,87945.033,87472.604,-472.4,1,0,2026-06-30T13:01:15.0464041+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,fast,wide,D5,89942.849,90439.387,90545.161,90676.443,90929.245,90320.969,90623.264,302.3,1,0,2026-06-30T13:01:19.2523834+02:00
25-09-PAMELA-1,1,1,1,T,HIT,HIT,1,slow,wide,D5,,,,,,95324.960,98876.400,3551.4,1,0,2026-06-30T13:01:25.1820534+02:00
25-09-PAMELA-1,1,1,1,V,MISS,HIT,0,fast,wide,,100097.169,100582.105,100704.014,100834.817,101085.811,,101217.114,,1,0,2026-06-30T13:01:29.4137815+02:00
25-09-PAMELA-1,1,1,1,T,HIT,HIT,1,slow,narrow,D6,,,,,,105103.662,109062.548,3958.9,1,0,2026-06-30T13:01:35.3677632+02:00
25-09-PAMELA-1,1,1,1,T,HIT,HIT,1,slow,wide,D1,,,,,,113282.298,115023.907,1741.6,1,0,2026-06-30T13:01:41.3294192+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,fast,narrow,D5,116234.395,116724.620,116857.926,116962.871,117226.139,116618.528,117093.633,475.1,1,0,2026-06-30T13:01:45.5498643+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,slow,narrow,D3,120454.612,121947.888,122289.676,122672.056,123448.816,122289.676,121934.918,-354.8,1,0,2026-06-30T13:01:49.7691495+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,fast,narrow,D2,124680.163,125162.458,125282.394,125399.843,125661.623,125399.843,125438.049,38.2,1,0,2026-06-30T13:01:54.0012863+02:00
25-09-PAMELA-1,1,1,1,T,HIT,HIT,1,slow,narrow,D7,,,,,,128907.774,129241.282,333.5,1,0,2026-06-30T13:01:58.2344015+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,slow,wide,D6,133145.172,134622.547,134962.046,135344.272,136122.007,133897.349,135196.745,1299.4,1,0,2026-06-30T13:02:02.4501133+02:00
25-09-PAMELA-1,1,1,1,T,HIT,HIT,1,slow,wide,D6,,,,,,138130.469,142193.051,4062.6,1,0,2026-06-30T13:02:08.4979002+02:00
25-09-PAMELA-1,1,1,1,VT,HIT,HIT,1,fast,narrow,D2,143382.246,143873.377,144006.569,144137.349,144379.136,144137.349,144020.137,-117.2,1,0,2026-06-30T13:02:12.6889253+02:00
