trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D7,fast,wide,49519.569,49519.569,49770.777,49895.047,50006.319,50132.017,50257.362,50507.572,,54976.759,True
B1_T02,1,VT,D3,slow,wide,56187.849,56187.849,56953.612,57343.606,57677.505,58025.366,58401.332,59167.053,,57329.746,True
B1_T03,1,VT,D2,slow,wide,60406.305,60406.305,61172.353,61561.796,61895.926,62243.826,62619.767,63385.400,,62995.869,True
B1_T04,1,VT,D7,slow,narrow,64624.611,64624.611,65390.338,65780.213,66114.749,66462.510,66838.512,67604.155,,69845.468,True
B1_T05,1,V,,slow,wide,71056.596,71056.596,71822.758,72212.553,72547.075,72895.284,73271.191,74204.404,,,False
B1_T06,1,V,,fast,wide,75428.133,75428.133,75678.909,75804.534,75915.804,76041.321,76166.487,76417.189,,,False
B1_T07,1,VT,D3,fast,wide,79647.165,79647.165,79897.449,80022.864,80134.130,80259.526,80384.895,80635.141,,79689.140,True
B1_T08,1,VT,D3,slow,narrow,83865.202,83865.202,84630.722,85020.437,85354.466,85702.761,86078.754,86844.436,,86092.529,True
B1_T09,1,T,D6,slow,wide,,,,,,,,,,89392.454,True
B1_T10,1,VT,D2,slow,wide,92301.648,92301.648,93067.616,93457.520,93791.715,94139.964,94515.212,95281.218,,94904.976,True
B1_T11,1,VT,D3,slow,narrow,96520.203,96520.203,97286.061,97675.703,98009.610,98357.898,98733.591,99499.470,,98831.292,True
B1_T12,1,V,,fast,narrow,100738.496,100738.496,100989.390,101114.335,101225.699,101351.104,101476.264,101727.106,,,False
B1_T13,1,T,D4,slow,narrow,,,,,,,,,,107254.111,True
B1_T14,1,T,D3,fast,wide,,,,,,,,,,110386.888,True
B1_T15,1,V,,slow,narrow,113394.665,113394.665,114160.259,114550.110,114884.410,115232.178,115608.101,116387.636,,,False
B1_T16,1,T,D6,slow,narrow,,,,,,,,,,118977.613,True
B1_T17,1,V,,fast,wide,121832.666,121832.666,122083.380,122208.440,122320.007,122445.850,122570.697,122821.520,,,False
B1_T18,1,VT,D5,fast,narrow,126051.157,126051.157,126302.615,126427.378,126538.469,126663.739,126789.098,127039.495,,126789.098,True
B1_T19,1,VT,D3,fast,narrow,130269.653,130269.653,130520.453,130645.528,130757.021,130882.075,131007.639,131257.958,,131202.233,True
B1_T20,1,VT,D2,slow,narrow,134487.875,134487.875,135253.706,135643.605,135977.497,136325.396,136701.361,137467.255,,137118.893,True
B1_T21,1,VT,D5,slow,narrow,138706.083,138706.083,139471.639,139861.327,140196.146,140543.767,140919.553,141684.912,,140362.609,True
B1_T22,1,VT,D7,slow,narrow,142924.201,142924.201,143689.741,144079.246,144413.411,144761.623,145137.422,145903.181,,147782.611,True
B1_T23,1,VT,D7,slow,wide,148993.350,148993.350,149758.937,150148.690,150482.792,150830.821,151206.784,151972.366,,153740.673,True
B1_T24,1,VT,D6,fast,wide,154951.352,154951.352,155202.164,155327.192,155438.926,155563.759,155690.127,155939.774,,155675.426,True
B1_T25,1,VT,D3,slow,wide,159169.759,159169.759,159935.283,160325.415,160659.646,161007.680,161383.256,162149.053,,161411.563,True
B1_T26,1,T,D1,slow,wide,,,,,,,,,,166939.225,True
B1_T27,1,V,,fast,narrow,168150.293,168150.293,168400.968,168526.872,168637.584,168762.553,168887.571,169138.413,,,False
B1_T28,1,VT,D4,slow,wide,172368.135,172368.135,173133.651,173523.576,173857.623,174205.447,174581.352,175347.214,,174233.712,True
B1_T29,1,VT,D2,slow,narrow,176586.152,176586.152,177351.776,177741.574,178075.497,178423.781,178799.614,179565.529,,179189.447,True
B1_T30,1,V,,fast,wide,180804.374,180804.374,181055.072,181180.718,181291.363,181416.891,181542.584,181792.773,,,False
B1_T31,1,VT,D5,fast,narrow,185022.753,185022.753,185273.559,185398.661,185510.122,185635.487,185760.635,186011.182,,185732.797,True
B1_T32,1,VT,D7,fast,narrow,189241.345,189241.345,189491.803,189617.097,189728.316,189853.714,189978.896,190229.638,,194016.230,True
B1_T33,1,V,,fast,wide,195227.464,195227.464,195478.092,195603.759,195714.906,195840.168,195965.358,196216.052,,,False
B1_T34,1,VT,D4,fast,narrow,199446.259,199446.259,199697.055,199821.836,199933.395,200058.740,200183.906,200434.557,,200295.178,True
B1_T35,1,V,,fast,narrow,203664.590,203664.590,203915.302,204040.276,204151.654,204277.331,204402.621,204652.925,,,False
B1_T36,1,VT,D6,fast,wide,207883.067,207883.067,208133.222,208259.459,208370.289,208495.335,208620.695,208871.154,,208551.303,True
B1_T37,1,VT,D6,slow,wide,212101.650,212101.650,212867.145,213256.867,213590.952,213939.195,214315.061,215080.776,,213382.247,True
B1_T38,1,VT,D1,fast,wide,216319.945,216319.945,216571.156,216696.125,216807.241,216932.499,217057.797,217308.643,,217726.345,True
B1_T39,1,T,D5,slow,narrow,,,,,,,,,,222278.451,True
B1_T40,1,VT,D1,slow,narrow,224770.724,224770.724,225536.143,225925.834,226260.047,226607.876,226984.006,227749.950,,228140.234,True
B1_T41,1,VT,D5,slow,wide,229351.689,229351.689,230117.446,230507.298,230841.649,231190.210,231565.789,232331.206,,230966.817,True
B1_T42,1,VT,D3,fast,narrow,233570.529,233570.529,233820.910,233946.148,234057.383,234182.674,234307.827,234558.697,,234461.227,True
B1_T43,1,T,D2,slow,narrow,,,,,,,,,,240531.922,True
B1_T44,1,VT,D2,fast,narrow,242007.951,242007.951,242258.500,242383.754,242495.096,242620.568,242745.771,242996.519,,243219.185,True
B1_T45,1,VT,D3,fast,narrow,246225.950,246225.950,246476.378,246602.070,246713.399,246838.755,246963.724,247214.287,,247256.186,True
B1_T46,1,VT,D5,slow,narrow,250444.181,250444.181,251210.119,251600.282,251934.405,252282.906,252658.625,253424.351,,252115.872,True
B1_T47,1,VT,D3,fast,wide,254663.168,254663.168,254913.518,255039.209,255150.176,255275.568,255400.953,255651.485,,255553.847,True
B1_T48,1,V,,fast,narrow,258881.168,258881.168,259132.030,259257.087,259368.353,259493.876,259619.713,259869.618,,,False
B1_T49,1,VT,D1,slow,narrow,263100.113,263100.113,263865.917,264255.493,264589.716,264937.508,265313.331,266079.417,,266483.143,True
B1_T50,1,T,D7,fast,narrow,,,,,,,,,,268361.810,True
B1_T51,1,T,D6,fast,narrow,,,,,,,,,,272678.189,True
B1_T52,1,VT,D7,fast,narrow,276131.319,276131.319,276381.545,276507.225,276619.051,276743.785,277036.429,277119.724,,280906.470,True
B1_T53,1,VT,D6,fast,narrow,282117.544,282117.544,282368.289,282493.521,282606.016,282730.058,282855.184,283105.601,,282771.663,True
B1_T54,1,V,,slow,narrow,286335.893,286335.893,287101.336,287490.933,287825.454,288173.440,288549.218,289314.804,,,False
B1_T55,1,VT,D5,slow,wide,290553.798,290553.798,291319.591,291709.185,292043.649,292391.495,292767.243,293533.197,,292127.064,True
B1_T56,1,VT,D4,slow,wide,294772.211,294772.211,295537.696,295927.542,296261.613,296609.762,296985.488,297765.399,,296694.186,True
B1_T57,1,VT,D7,slow,wide,298990.580,298990.580,299756.264,300145.981,300480.102,300828.232,301204.117,301983.262,,303640.232,True
B1_T58,1,VT,D2,fast,narrow,304851.370,304851.370,305101.645,305227.110,305338.312,305464.562,305589.074,305839.638,,305978.842,True
B1_T59,1,V,,slow,wide,309069.740,309069.740,309834.846,310224.813,310558.751,310906.944,311282.762,312048.443,,,False
B1_T60,1,T,D1,slow,narrow,,,,,,,,,,316824.425,True
B1_T61,1,V,,fast,narrow,318033.998,318033.998,318284.554,318410.277,318521.358,318646.677,318772.144,319022.578,,,False
B1_T62,1,T,D3,slow,wide,,,,,,,,,,324633.403,True
B1_T63,1,VT,D1,fast,wide,326485.382,326485.382,326735.391,326860.953,326972.377,327097.518,327222.753,327473.639,,327055.696,True
B1_T64,1,V,,slow,wide,330703.291,330703.291,331469.059,331859.175,332193.363,332541.458,332917.486,333682.821,,,False
B1_T65,1,V,,fast,wide,334921.934,334921.934,335172.547,335297.868,335409.346,335534.268,335659.585,335910.115,,,False
B1_T66,1,V,,fast,wide,339140.285,339140.285,339390.987,339515.954,339627.580,339752.436,339878.223,340128.647,,,False
B1_T67,1,T,D4,fast,narrow,,,,,,,,,,344445.667,True
B1_T68,1,T,D1,fast,narrow,,,,,,,,,,349138.242,True
B1_T69,1,VT,D7,fast,wide,351797.422,351797.422,352048.182,352173.261,352284.593,352410.104,352535.405,352785.704,,356500.287,True
B1_T70,1,V,,slow,narrow,357712.512,357712.512,358478.421,358868.382,359202.528,359550.519,359926.438,360692.389,,,False
B1_T71,1,VT,D1,fast,narrow,361931.344,361931.344,362181.563,362306.998,362418.435,362543.902,362668.989,362919.590,,363323.510,True
B1_T72,1,VT,D4,fast,narrow,366149.690,366149.690,366399.396,366525.055,366636.408,366761.778,366887.131,367137.441,,367054.054,True
B1_T73,1,VT,D6,slow,narrow,370367.287,370367.287,371133.108,371523.021,371857.202,372205.999,372581.273,373347.234,,371620.532,True
B1_T74,1,T,D4,fast,wide,,,,,,,,,,375617.579,True
B1_T75,1,V,,fast,narrow,378805.063,378805.063,379055.811,379181.194,379292.413,379417.714,379543.205,379793.765,,,False
B1_T76,1,VT,D4,slow,narrow,383023.578,383023.578,383788.750,384178.796,384513.034,384860.971,385236.579,386016.349,,384902.925,True
B1_T77,1,VT,D2,slow,wide,387241.159,387241.159,388007.092,388396.717,388731.255,389079.403,389455.331,390220.907,,389874.191,True
B1_T78,1,VT,D5,fast,wide,391460.162,391460.162,391710.667,391836.126,391947.564,392072.784,392197.748,392448.402,,392170.024,True
B1_T79,1,VT,D2,slow,narrow,395679.777,395679.777,396445.103,396835.098,397169.205,397517.125,397893.191,398672.516,,398324.916,True
B1_T80,1,T,D5,slow,wide,,,,,,,,,,401624.123,True
B1_T81,1,VT,D5,slow,wide,404129.189,404129.189,404894.773,405284.651,405618.848,405966.908,406342.914,407108.789,,405744.721,True
