trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D3,slow,wide,169845.442,169845.442,170611.255,171000.839,171334.710,171682.721,172059.672,172824.615,,172115.416,True
B1_T02,1,VT,D2,slow,narrow,174064.006,174064.006,174829.116,175218.981,175553.436,175902.298,176277.460,177057.368,,176667.142,True
B1_T03,1,VT,D7,fast,wide,178281.986,178281.986,178533.302,178658.567,178770.066,178894.895,179020.324,179270.997,,178950.589,True
B1_T04,1,V,,fast,wide,182500.785,182500.785,182751.533,182876.600,182988.306,183112.974,183238.439,183489.183,,,False
B1_T05,1,VT,D4,fast,wide,186718.814,186718.814,186968.962,187095.006,187205.850,187331.227,187457.670,187706.716,,187526.486,True
B1_T06,1,VT,D5,slow,narrow,190936.840,190936.840,191702.633,192092.283,192426.788,192774.633,193150.740,193916.466,,192454.693,True
B1_T07,1,V,,slow,wide,195155.404,195155.404,195921.579,196310.963,196644.949,196993.432,197369.336,198135.071,,,False
B1_T08,1,V,,fast,wide,199373.943,199373.943,199624.461,199750.055,199861.538,199986.740,200112.086,200362.528,,,False
B1_T09,1,V,,fast,wide,203592.023,203592.023,203842.713,203968.184,204079.502,204204.794,204329.903,204580.897,,,False
B1_T10,1,V,,slow,wide,207810.571,207810.571,208575.765,208966.140,209299.803,209647.719,210023.447,210803.273,,,False
B1_T11,1,VT,D1,fast,wide,212028.436,212028.436,212279.094,212404.699,212515.876,212640.951,212766.281,213016.749,,213448.705,True
B1_T12,1,V,,slow,narrow,216246.978,216246.978,217012.977,217402.351,217736.552,218085.006,218460.478,219226.306,,,False
B1_T13,1,T,D3,slow,wide,,,,,,,,,,229430.795,True
B1_T14,1,T,D4,slow,wide,,,,,,,,,,232591.909,True
B1_T15,1,VT,D7,fast,narrow,234860.592,234860.592,235111.403,235236.386,235348.036,235473.198,235598.266,235849.370,,235320.204,True
B1_T16,1,VT,D5,slow,wide,239078.890,239078.890,239844.777,240234.793,240568.473,240916.809,241292.647,242058.446,,240526.818,True
B1_T17,1,VT,D7,slow,wide,243297.425,243297.425,244063.109,244453.059,244787.238,245134.825,245510.725,246276.764,,243812.454,True
B1_T18,1,T,D7,fast,wide,,,,,,,,,,252875.579,True
B1_T19,1,T,D5,slow,narrow,,,,,,,,,,255771.471,True
B1_T20,1,T,D6,slow,wide,,,,,,,,,,263094.869,True
B1_T21,1,V,,slow,narrow,264306.070,264306.070,265071.879,265461.562,265795.543,266144.126,266519.936,267285.660,,266213.887,True
B1_T22,1,VT,D5,slow,wide,268524.433,268524.433,269290.131,269679.704,270013.819,270362.246,270738.105,271503.499,,269986.047,True
B1_T23,1,VT,D3,fast,wide,272742.774,272742.774,272993.345,273118.745,273230.074,273354.931,273480.663,273730.856,,273772.626,True
B1_T24,1,VT,D3,slow,narrow,276960.919,276960.919,277726.613,278116.526,278450.788,278798.472,279174.587,279940.490,,279411.181,True
B1_T25,1,VT,D2,slow,narrow,281179.221,281179.221,281945.261,282334.488,282668.908,283016.954,283392.802,284158.616,,283503.997,True
B1_T26,1,V,,slow,wide,285397.607,285397.607,286163.614,286553.799,286887.740,287235.540,287612.005,288377.478,,,False
B1_T27,1,V,,slow,narrow,289616.492,289616.492,290381.956,290771.854,291106.181,291453.710,291829.854,292595.475,,,False
B1_T28,1,VT,D7,slow,wide,293834.551,293834.551,294600.445,294989.998,295323.825,295672.012,296047.848,296813.837,,294474.725,True
B1_T29,1,VT,D6,slow,wide,298052.768,298052.768,298818.429,299208.349,299542.252,299890.307,300266.258,301032.041,,299291.666,True
B1_T30,1,V,,slow,narrow,302271.328,302271.328,303036.931,303426.700,303760.623,304109.107,304485.190,305250.647,,,False
B1_T31,1,VT,D6,slow,narrow,306489.290,306489.290,307255.150,307644.668,307978.795,308326.982,308702.827,309468.920,,307811.760,True
B1_T32,1,T,D3,fast,wide,,,,,,,,,,402817.622,True
B1_T33,1,VT,D4,slow,wide,404028.328,404028.328,404794.883,405184.422,405518.236,405866.299,406242.222,407007.834,,406798.883,True
B1_T34,1,VT,D2,slow,wide,408246.746,408246.746,409012.352,409402.350,409736.276,410084.266,410460.136,411225.903,,410919.696,True
B1_T35,1,VT,D5,fast,narrow,412464.848,412464.848,412715.138,412840.577,412951.848,413077.252,413202.667,413453.252,,413160.782,True
B1_T36,1,VT,D1,fast,narrow,416682.911,416682.911,416933.671,417058.751,417170.266,417295.505,417420.758,417671.266,,418144.823,True
B1_T37,1,VT,D2,fast,narrow,420901.267,420901.267,421151.916,421277.277,421388.617,421513.928,421639.629,421890.273,,422001.985,True
B1_T38,1,V,,slow,wide,425120.039,425120.039,425886.649,426275.703,426609.541,426957.541,427333.462,428112.999,,,False
B1_T39,1,VT,D6,slow,wide,429338.890,429338.890,430104.233,430494.377,430828.532,431176.468,431552.344,432318.299,,430536.327,True
B1_T40,1,VT,D2,slow,wide,433556.881,433556.881,434322.541,434712.341,435046.428,435394.411,435770.221,436549.694,,436160.032,True
B1_T41,1,T,D2,slow,wide,,,,,,,,,,445641.095,True
B1_T42,1,VT,D3,fast,narrow,446852.199,446852.199,447102.295,447227.716,447339.094,447464.514,447589.658,447840.226,,447533.965,True
B1_T43,1,V,,fast,narrow,451070.127,451070.127,451320.552,451445.658,451557.198,451682.571,451808.197,452058.330,,,False
B1_T44,1,VT,D3,slow,wide,455232.335,455232.335,455999.221,456388.273,456722.280,457070.493,457446.004,458212.701,,457418.487,True
B1_T45,1,T,D3,fast,narrow,,,,,,,,,,465019.905,True
B1_T46,1,VT,D3,fast,narrow,466231.088,466231.088,466481.911,466607.322,466718.240,466843.766,466969.386,467219.729,,471076.965,True
B1_T47,1,VT,D7,slow,narrow,472288.303,472288.303,473053.900,473443.595,473778.156,474126.507,474501.629,475281.205,,476993.455,True
B1_T48,1,V,,fast,narrow,478204.570,478204.570,478455.012,478580.309,478691.850,478817.054,478942.375,479193.340,,,False
B1_T49,1,VT,D7,fast,wide,482422.807,482422.807,482673.450,482799.329,482910.257,483035.558,483161.146,483411.792,,487282.046,True
B1_T50,1,VT,D4,slow,narrow,488493.217,488493.217,489259.192,489649.499,489983.656,490331.747,490707.931,491473.293,,521459.811,True
B1_T51,1,VT,D6,fast,narrow,522671.248,522671.248,522921.357,523047.112,523158.183,523284.251,523409.140,523659.637,,523339.116,True
B1_T52,1,T,D4,fast,narrow,,,,,,,,,,529158.830,True
B1_T53,1,VT,D2,fast,wide,531108.055,531108.055,531358.641,531484.161,531595.446,531720.491,531846.247,532097.068,,533990.267,True
B1_T54,1,T,D5,slow,wide,,,,,,,,,,540129.745,True
B1_T55,1,V,,fast,wide,541340.502,541340.502,541590.517,541716.296,541827.922,541952.990,542078.558,542328.877,,541883.500,True
B1_T56,1,V,,slow,narrow,545558.922,545558.922,546324.866,546714.916,547048.643,547396.964,547772.552,548538.253,,,False
B1_T57,1,T,D1,slow,narrow,,,,,,,,,,558005.098,True
B1_T58,1,VT,D3,fast,narrow,559216.481,559216.481,559469.681,559602.745,559713.944,559825.499,559951.110,560202.108,,560048.575,True
B1_T59,1,VT,D5,fast,narrow,563434.341,563434.341,563684.570,563810.342,563921.916,564047.169,564172.533,564423.240,,565439.894,True
B1_T60,1,V,,fast,narrow,567653.895,567653.895,567904.085,568029.633,568141.275,568266.318,568391.601,568641.940,,,False
B1_T61,1,VT,D6,slow,narrow,571871.828,571871.828,572637.239,573027.012,573361.486,573709.064,574085.080,574851.193,,572957.457,True
B1_T62,1,VT,D2,fast,narrow,576089.624,576089.624,576340.309,576465.995,576577.131,576702.415,576827.690,577078.237,,577147.887,True
B1_T63,1,VT,D4,slow,narrow,580308.910,580308.910,581075.046,581464.933,581799.138,582147.207,582523.107,583289.216,,582077.577,True
B1_T64,1,T,D6,fast,wide,,,,,,,,,,585752.868,True
B1_T65,1,VT,D7,slow,narrow,588745.714,588745.714,589511.447,589901.226,590235.023,590583.165,590959.147,591724.792,,589915.064,True
B1_T66,1,VT,D4,slow,wide,592963.628,592963.628,593729.481,594119.315,594453.686,594801.313,595177.194,595943.076,,594773.623,True
B1_T67,1,VT,D1,slow,narrow,597182.793,597182.793,597948.343,598338.099,598672.195,599020.075,599396.070,600162.085,,600481.971,True
B1_T68,1,VT,D5,fast,wide,601692.970,601692.970,601943.698,602069.159,602180.589,602305.651,602430.798,602681.335,,602347.027,True
B1_T69,1,T,D2,fast,wide,,,,,,,,,,607804.336,True
B1_T70,1,VT,D7,slow,wide,610129.202,610129.202,610894.558,611285.092,611618.777,611966.840,612342.993,613108.738,,610825.307,True
B1_T71,1,VT,D2,slow,wide,614347.842,614347.842,615113.473,615503.049,615837.335,616185.681,616560.958,617326.703,,617034.386,True
B1_T72,1,VT,D5,fast,wide,618566.030,618566.030,618816.634,618941.811,619053.388,619178.655,619303.997,619554.632,,619164.721,True
