Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
180.219015,pps_trial_start,PRACTICE_T01,TactileOnly,,,19,19
181.722228,pps_vib_fired,PRACTICE_T01,,,,D4,127
184.994256,pps_response,,,,,,62
186.205752,pps_trial_start,PRACTICE_T02,TactileOnly,,,13,13
188.057558,pps_vib_fired,PRACTICE_T02,,,,D3,127
227.719611,pps_response,,,,,,62
235.991216,pps_trial_start,PRACTICE_T01,VisualOnly,,,3,3
238.177514,pps_response,,,,,,62
240.209214,pps_trial_start,PRACTICE_T02,Both,,,47,47
241.698631,pps_vib_fired,PRACTICE_T02,,,,D4,127
241.782924,pps_response,,,,,,62
244.427676,pps_trial_start,PRACTICE_T03,Both,,,41,41
245.722210,pps_response,,,,,,62
246.265707,pps_vib_fired,PRACTICE_T03,,,,D3,127
251.569587,pps_session_start,,,,,,61
255.230674,pps_trial_start,B1_T01,Both,,,51,51
256.386170,pps_vib_fired,B1_T01,,,,D5,127
0.000000,session_end,,,,,,57
