trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,T,D5,fast,narrow,,,,,,,,,,90764.957,True
B1_T02,1,VT,D7,fast,narrow,92923.556,92923.556,93173.865,93299.071,93410.703,93535.981,93661.691,93913.566,,93689.263,True
B1_T03,1,VT,D5,fast,wide,96154.011,96154.011,96404.662,96530.325,96641.345,96766.734,96892.099,97142.924,,96864.298,True
B1_T04,1,T,D4,slow,narrow,,,,,,,,,,103769.481,True
B1_T05,1,VT,D7,fast,wide,105398.302,105398.302,105648.894,105774.339,105885.500,105997.475,106136.363,106386.769,,106540.380,True
B1_T06,1,VT,D1,slow,narrow,108558.434,108558.434,109324.574,109714.839,110048.557,110396.865,110772.586,111537.982,,111496.182,True
B1_T07,1,V,,fast,wide,113849.202,113849.202,114099.249,114224.162,114335.549,114460.712,114586.367,114836.572,,114600.095,True
B1_T08,1,V,,slow,narrow,116967.095,116967.095,117732.672,118122.697,118456.980,118804.759,119180.016,119959.832,,119543.528,True
B1_T09,1,VT,D2,slow,wide,122480.259,122480.259,123246.064,123636.296,123970.641,124317.497,124693.085,125473.012,,124902.620,True
B1_T10,1,VT,D7,fast,wide,127185.911,127185.911,127436.232,127561.206,127672.846,127798.125,127924.139,128174.037,,127867.959,True
B1_T11,1,T,D6,slow,wide,,,,,,,,,,134759.982,True
B1_T12,1,VT,D4,slow,wide,136527.942,136527.942,137293.722,137683.163,138019.462,138364.944,138741.347,139507.253,,137683.163,True
B1_T13,1,T,D1,slow,narrow,,,,,,,,,,146231.938,True
B1_T14,1,VT,D1,slow,narrow,148361.328,148361.328,149127.231,149517.134,149851.726,150199.782,150575.489,151341.419,,153123.000,True
B1_T15,1,V,,slow,wide,155309.146,155309.146,156211.636,156463.466,156797.162,157145.174,157520.977,158300.824,,157980.208,True
B1_T16,1,V,,slow,wide,160710.313,160710.313,161475.847,161865.831,162199.796,162547.881,162923.349,163702.721,,,False
