subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
testPam6,1,1,1,near_hit,HIT,none,fast,start-fast,start,-13.43,10,91,173.2632,MISS,1726.30,0,0,2026-06-08T16:57:14.6996272+02:00
testPam6,1,1,2,clear_miss,MISS,fast,fast,fast-fast,repetition,50.13,23,91,179.2912,MISS,1044.58,1,0,2026-06-08T16:57:20.0447225+02:00
testPam6,1,1,3,near_miss,MISS,fast,fast,fast-fast,repetition,-32.10,17,90,184.8606,HIT,1085.98,0,0,2026-06-08T16:57:25.6557078+02:00
testPam6,1,1,4,near_hit,HIT,fast,fast,fast-fast,repetition,-7.21,11,90,190.5957,HIT,1142.00,1,0,2026-06-08T16:57:31.4468226+02:00
testPam6,1,1,5,clear_miss,MISS,fast,fast,fast-fast,repetition,-58.97,23,91,196.3459,MISS,710.16,1,0,2026-06-08T16:57:36.7653266+02:00
testPam6,1,1,6,near_miss,MISS,fast,fast,fast-fast,repetition,-36.08,17,91,202.0782,MISS,822.53,1,0,2026-06-08T16:57:42.6102137+02:00
testPam6,1,1,7,clear_hit,HIT,fast,fast,fast-fast,repetition,-13.56,5,91,207.7477,MISS,780.33,0,0,2026-06-08T16:57:48.2376791+02:00
testPam6,1,1,8,clear_hit,HIT,fast,slow,fast-slow,transition,2.85,3,90,213.1637,HIT,1141.75,1,0,2026-06-08T16:57:54.0147292+02:00
testPam6,1,2,1,clear_hit,HIT,none,fast,start-fast,start,-14.55,4,91,233.3235,MISS,1112.98,0,0,2026-06-08T16:58:14.1456971+02:00
testPam6,1,2,2,near_miss,MISS,fast,fast,fast-fast,repetition,-32.54,17,90,239.3798,HIT,765.00,0,0,2026-06-08T16:58:19.8538021+02:00
testPam6,1,2,3,clear_hit,HIT,fast,fast,fast-fast,repetition,-1.99,5,91,245.0034,MISS,696.44,0,0,2026-06-08T16:58:25.4090080+02:00
testPam6,1,2,4,near_hit,HIT,fast,fast,fast-fast,repetition,5.61,11,90,250.4333,HIT,668.19,1,0,2026-06-08T16:58:30.8106556+02:00
testPam6,1,2,5,clear_miss,MISS,fast,fast,fast-fast,repetition,-59.25,23,91,255.8069,MISS,863.54,1,0,2026-06-08T16:58:36.3799775+02:00
testPam6,1,2,6,near_miss,MISS,fast,fast,fast-fast,repetition,-33.81,17,91,261.5155,MISS,946.70,1,0,2026-06-08T16:58:42.1719453+02:00
testPam6,1,2,7,near_hit,HIT,fast,fast,fast-fast,repetition,3.55,11,91,267.2235,MISS,849.12,0,0,2026-06-08T16:58:47.7820308+02:00
testPam6,1,2,8,clear_miss,MISS,fast,slow,fast-slow,transition,-52.35,21,91,273.0991,MISS,2436.52,1,0,2026-06-08T16:58:55.2448258+02:00
