Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
11.714029,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
14.692327,pps_vib_fired,PRACTICE_T01,,,,D4,64
14.776157,pps_response,,,,,,62
18.242603,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
18.660507,pps_response,,,,,,62
19.356520,pps_vib_fired,PRACTICE_T02,,,,D4,64
23.810896,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
26.330868,pps_response,,,,,,62
30.409773,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
31.176111,pps_response,,,,,,62
36.507935,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
37.148250,pps_response,,,,,,62
43.176543,pps_trial_start,PRACTICE_T02,Both,,,45,45
44.011723,pps_response,,,,,,62
46.141983,pps_vib_fired,PRACTICE_T02,,,,D4,64
49.594807,pps_trial_start,PRACTICE_T03,Both,,,46,46
50.276611,pps_response,,,,,,62
50.708239,pps_vib_fired,PRACTICE_T03,,,,D4,64
54.648680,pps_session_start,,,,,,61
57.293517,pps_trial_start,B1_T01,Both,,,50,50
57.975900,pps_response,,,,,,62
58.156809,pps_vib_fired,B1_T01,,,,D5,64
60.941156,pps_trial_start,B1_T02,Both,,,49,49
61.540065,pps_response,,,,,,62
63.238376,pps_vib_fired,B1_T02,,,,D5,64
67.387367,pps_trial_start,B1_T03,TactileOnly,,,14,14
68.751953,pps_vib_fired,B1_T03,,,,D3,64
71.745422,pps_trial_start,B1_T04,Both,,,58,58
72.121255,pps_vib_fired,B1_T04,,,,D7,64
76.493039,pps_trial_start,B1_T05,TactileOnly,,,29,29
77.467716,pps_vib_fired,B1_T05,,,,D7,64
83.857502,pps_trial_start,B1_T06,Both,,,53,53
85.486968,pps_vib_fired,B1_T06,,,,D6,64
86.183067,pps_response,,,,,,62
90.582164,pps_trial_start,B1_T07,Both,,,45,45
91.264501,pps_response,,,,,,62
93.547756,pps_vib_fired,B1_T07,,,,D4,64
97.361989,pps_trial_start,B1_T08,Both,,,58,58
97.737739,pps_vib_fired,B1_T08,,,,D7,64
98.113443,pps_response,,,,,,62
101.037048,pps_trial_start,B1_T09,Both,,,46,46
101.552360,pps_response,,,,,,62
102.150090,pps_vib_fired,B1_T09,,,,D4,64
104.545170,pps_trial_start,B1_T10,Both,,,33,33
105.297466,pps_response,,,,,,62
109.515546,pps_vib_fired,B1_T10,,,,D1,64
110.824338,pps_trial_start,B1_T11,TactileOnly,,,6,6
111.506281,pps_response,,,,,,62
112.689764,pps_vib_fired,B1_T11,,,,D1,64
113.942473,pps_trial_start,B1_T12,VisualOnly,,,2,2
114.569022,pps_response,,,,,,62
117.478918,pps_trial_start,B1_T13,VisualOnly,,,1,1
118.063274,pps_response,,,,,,62
123.706940,pps_trial_start,B1_T14,Both,,,38,38
125.321049,pps_vib_fired,B1_T14,,,,D2,64
0.000000,session_end,,,,,,57
