subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
pam,1,1,1,VT,1,fast,narrow,D5,57293.517,57293.517,57669.547,57669.547,57906.303,58156.809,58407.158,58657.759,58908.571,59159.120,58156.809,57975.900,-180.9,2.217,3.250,0.150,None,0,2026-07-15T16:05:48.6425085+02:00
pam,1,1,2,VT,1,slow,narrow,D5,60941.156,60941.156,61915.466,61915.466,62569.750,63238.376,63906.741,64575.105,65243.421,65911.445,63238.376,61540.065,-1698.3,2.217,3.250,0.150,None,0,2026-07-15T16:05:55.3938166+02:00
pam,1,1,3,T,0,fast,narrow,D3,67387.367,,,,,,,,,,68751.953,,,1.183,3.250,0.150,None,0,2026-07-15T16:05:59.8767460+02:00
pam,1,1,4,VT,0,fast,narrow,D7,71745.422,71745.422,72121.255,72121.255,72358.831,72609.073,72859.209,73109.719,73360.498,73610.930,72121.255,,,3.250,3.250,0.150,None,0,2026-07-15T16:06:04.1926830+02:00
pam,1,1,5,T,0,slow,narrow,D7,76493.039,,,,,,,,,,77467.716,,,3.250,3.250,0.150,None,0,2026-07-15T16:06:11.6052417+02:00
pam,1,1,6,VT,1,slow,narrow,D6,83857.502,83857.502,84832.155,84832.155,85486.968,86155.167,86822.911,87491.283,88159.660,88828.004,85486.968,86183.067,696.1,2.733,3.250,0.150,None,0,2026-07-15T16:06:18.3098872+02:00
pam,1,1,7,VT,1,slow,narrow,D4,90582.164,90582.164,91556.818,91556.818,92211.330,92879.637,93547.756,94216.116,94883.808,95552.347,93547.756,91264.501,-2283.3,1.700,3.250,0.150,None,0,2026-07-15T16:06:25.0344141+02:00
pam,1,1,8,VT,1,fast,narrow,D7,97361.989,97361.989,97737.739,97737.739,97974.286,98224.744,98475.224,98725.785,98976.111,99227.170,97737.739,98113.443,375.7,3.250,3.250,0.150,None,0,2026-07-15T16:06:28.7089883+02:00
pam,1,1,9,VT,1,fast,narrow,D4,101037.048,101037.048,101412.724,101412.724,101650.008,101900.765,102150.090,102400.567,102651.836,102902.119,102150.090,101552.360,-597.7,1.700,3.250,0.150,None,0,2026-07-15T16:06:32.3839675+02:00
pam,1,1,10,VT,1,slow,narrow,D1,104545.170,104545.170,105520.340,105520.340,106174.116,106842.522,107510.338,108178.673,108846.811,109515.546,109515.546,105297.466,-4218.1,0.150,3.250,0.150,None,0,2026-07-15T16:06:38.9969435+02:00
pam,1,1,11,T,1,fast,narrow,D1,110824.338,,,,,,,,,,112689.764,111506.281,-1183.5,0.150,3.250,0.150,None,0,2026-07-15T16:06:42.1582888+02:00
pam,1,1,12,V,1,fast,narrow,,113942.473,113942.473,114318.623,114318.623,114555.042,114805.715,115056.153,115307.257,115557.443,115807.882,,114569.022,,,3.250,0.150,None,0,2026-07-15T16:06:45.2896993+02:00
pam,1,1,13,V,1,slow,narrow,,117478.918,117478.918,118453.259,118453.259,119107.385,119775.905,120444.273,121113.571,121780.579,122448.722,,118063.274,,,3.250,0.150,None,0,2026-07-15T16:06:51.9301313+02:00
