Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
105.903270,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
106.584850,pps_response,,,,,,62
109.410531,pps_vib_fired,PRACTICE_T01,,,,D4,127
112.947223,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
113.545808,pps_response,,,,,,62
114.117359,pps_vib_fired,PRACTICE_T02,,,,D4,127
117.944175,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
122.649999,pps_response,,,,,,62
124.696274,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
129.804202,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
131.223655,pps_response,,,,,,62
136.807623,pps_trial_start,PRACTICE_T02,Both,,,45,45
139.465552,pps_response,,,,,,62
140.300607,pps_vib_fired,PRACTICE_T02,,,,D4,127
143.726520,pps_trial_start,PRACTICE_T03,Both,,,46,46
144.895001,pps_vib_fired,PRACTICE_T03,,,,D4,127
145.534539,pps_response,,,,,,62
147.579007,pps_session_start,,,,,,61
150.529552,pps_trial_start,B1_T01,TactileOnly,,,10,10
152.144491,pps_vib_fired,B1_T01,,,,D2,127
152.729896,pps_response,,,,,,62
154.332039,pps_trial_start,B1_T02,Both,,,54,54
155.041556,pps_vib_fired,B1_T02,,,,D6,127
158.368136,pps_trial_start,B1_T03,TactileOnly,,,13,13
160.776413,pps_response,,,,,,62
162.544550,pps_vib_fired,B1_T03,,,,D3,127
165.244199,pps_trial_start,B1_T04,Both,,,50,50
166.176899,pps_vib_fired,B1_T04,,,,D5,127
166.609033,pps_response,,,,,,62
168.793660,pps_trial_start,B1_T05,Both,,,33,33
174.154693,pps_response,,,,,,62
174.293119,pps_vib_fired,B1_T05,,,,D1,127
175.866251,pps_trial_start,B1_T06,Both,,,57,57
177.368455,pps_vib_fired,B1_T06,,,,D7,127
183.521929,pps_trial_start,B1_T07,VisualOnly,,,1,1
186.807549,pps_response,,,,,,62
190.675855,pps_trial_start,B1_T08,TactileOnly,,,25,25
192.848507,pps_vib_fired,B1_T08,,,,D6,127
198.054416,pps_trial_start,B1_T09,TactileOnly,,,22,22
199.000564,pps_vib_fired,B1_T09,,,,D5,127
202.438237,pps_trial_start,B1_T10,VisualOnly,,,2,2
204.233145,pps_response,,,,,,62
205.514108,pps_trial_start,B1_T11,TactileOnly,,,30,30
206.015232,pps_vib_fired,B1_T11,,,,D7,127
209.383282,pps_trial_start,B1_T12,Both,,,37,37
214.214123,pps_vib_fired,B1_T12,,,,D2,127
214.451761,pps_response,,,,,,62
216.219036,pps_trial_start,B1_T13,VisualOnly,,,1,1
219.685281,pps_response,,,,,,62
223.374305,pps_trial_start,B1_T14,Both,,,33,33
224.794196,pps_response,,,,,,62
228.872069,pps_vib_fired,B1_T14,,,,D1,127
230.375315,pps_trial_start,B1_T15,TactileOnly,,,13,13
230.417782,pps_response,,,,,,62
234.551503,pps_vib_fired,B1_T15,,,,D3,127
237.446951,pps_trial_start,B1_T16,TactileOnly,,,21,21
237.655596,pps_response,,,,,,62
240.286716,pps_vib_fired,B1_T16,,,,D5,127
244.755366,pps_trial_start,B1_T17,TactileOnly,,,5,5
246.718165,pps_response,,,,,,62
250.268647,pps_vib_fired,B1_T17,,,,D1,127
251.534700,pps_trial_start,B1_T18,TactileOnly,,,10,10
252.314177,pps_response,,,,,,62
253.150018,pps_vib_fired,B1_T18,,,,D2,127
254.750829,pps_trial_start,B1_T19,Both,,,41,41
258.913897,pps_vib_fired,B1_T19,,,,D3,127
259.108180,pps_response,,,,,,62
261.947623,pps_trial_start,B1_T20,VisualOnly,,,2,2
263.562360,pps_response,,,,,,62
263.784371,pps_attention_check_shown,,,,,,61
276.645921,pps_attention_check_done,,,,,,61
278.066162,pps_trial_start,B1_T21,VisualOnly,,,2,2
281.407061,pps_trial_start,B1_T22,TactileOnly,,,17,17
284.915724,pps_vib_fired,B1_T22,,,,D4,127
287.716199,pps_session_end,,,,,,61
0.000000,session_end,,,,,,57
