Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
0.020000,phase_intro,,,,,,51
10.715823,phase_controller_practice,,,,,,32
16.855829,phase_difficult_practice,,,,,,35
18.443623,trial_spawn,PRACTICE_T01,clear_miss,Miss,,19,19
19.528774,controller_left,,,,,,40
24.973260,trial_spawn,PRACTICE_T02,clear_hit,Hit,,1,1
25.697517,controller_right,,,,,,41
32.142231,trial_spawn,PRACTICE_T03,near_hit,Hit,,7,7
33.437379,controller_left,,,,,,40
39.242351,trial_spawn,PRACTICE_T04,near_miss,Miss,,13,13
40.760150,controller_left,,,,,,40
44.742531,block_end,,,,,,30
46.370836,phase_block,,,,,,25
46.385559,trial_spawn,B1_T01,clear_miss,Miss,,19,19
48.083912,controller_left,,,,,,40
53.625422,trial_spawn,B1_T02,near_miss,Miss,,14,14
54.920467,controller_right,,,,,,41
60.266656,trial_spawn,B1_T03,clear_hit,Hit,,2,2
61.129647,controller_right,,,,,,41
67.515004,trial_spawn,B1_T04,clear_miss,Miss,,24,24
68.186493,controller_left,,,,,,40
72.057995,trial_spawn,B1_T05,near_hit,Hit,,11,11
72.768798,controller_left,,,,,,40
77.486246,trial_spawn,B1_T06,near_miss,Miss,,17,17
78.307663,controller_right,,,,,,41
82.555163,trial_spawn,B1_T07,near_hit,Hit,,11,11
83.168787,controller_left,,,,,,40
87.872413,trial_spawn,B1_T08,near_miss,Miss,,15,15
88.888850,controller_left,,,,,,40
94.305167,trial_spawn,B1_T09,near_hit,Hit,,8,8
95.432561,controller_right,,,,,,41
101.042217,trial_spawn,B1_T10,near_miss,Miss,,14,14
0.000000,session_end,,,,,,57
0.020000,phase_intro,,,,,,51
4.243899,phase_controller_practice,,,,,,32
9.352795,phase_difficult_practice,,,,,,35
10.355727,trial_spawn,PRACTICE_T01,near_miss,Miss,,13,13
11.595791,controller_right,,,,,,41
17.038202,trial_spawn,PRACTICE_T02,clear_hit,Hit,,1,1
19.156667,controller_right,,,,,,41
22.092796,controller_left,,,,,,40
22.325050,controller_left,,,,,,40
22.580546,controller_left,,,,,,40
23.945171,trial_spawn,PRACTICE_T03,clear_miss,Miss,,19,19
25.379484,controller_left,,,,,,40
31.270374,trial_spawn,PRACTICE_T04,near_hit,Hit,,7,7
32.189024,controller_right,,,,,,41
36.781037,block_end,,,,,,30
38.576413,phase_block,,,,,,25
38.590637,trial_spawn,B1_T01,near_hit,Hit,,10,10
39.509523,controller_right,,,,,,41
43.380309,trial_spawn,B1_T02,clear_miss,Miss,,23,23
44.090509,controller_left,,,,,,40
48.268133,trial_spawn,B1_T03,near_hit,Hit,,11,11
49.033478,controller_left,,,,,,40
53.418430,trial_spawn,B1_T04,near_miss,Miss,,15,15
54.128213,controller_right,,,,,,41
60.658670,trial_spawn,B1_T05,near_hit,Hit,,8,8
62.302318,controller_right,,,,,,41
67.536055,trial_spawn,B1_T06,clear_miss,Miss,,20,20
69.262556,controller_left,,,,,,40
74.692558,trial_spawn,B1_T07,near_miss,Miss,,18,18
75.555931,controller_left,,,,,,40
79.746628,trial_spawn,B1_T08,near_hit,Hit,,11,11
80.401631,controller_right,,,,,,41
84.213789,trial_spawn,B1_T09,clear_hit,Hit,,5,5
85.077496,controller_right,,,,,,41
89.337438,trial_spawn,B1_T10,near_hit,Hit,,9,9
0.000000,session_end,,,,,,57
0.020000,phase_intro,,,,,,51
0.000000,session_end,,,,,,57
0.020000,phase_intro,,,,,,51
8.227015,phase_controller_practice,,,,,,32
12.487258,phase_difficult_practice,,,,,,35
13.921240,trial_spawn,PRACTICE_T01,near_miss,Miss,,13,13
14.729010,controller_left,,,,,,40
20.883109,trial_spawn,PRACTICE_T02,clear_miss,Miss,,19,19
21.928259,controller_right,,,,,,41
27.343420,trial_spawn,PRACTICE_T03,near_hit,Hit,,7,7
28.136957,controller_right,,,,,,41
34.104734,trial_spawn,PRACTICE_T04,clear_hit,Hit,,1,1
34.885570,controller_right,,,,,,41
39.606723,block_end,,,,,,30
41.111406,phase_block,,,,,,25
41.124780,trial_spawn,B1_T01,clear_miss,Miss,,19,19
41.960225,controller_left,,,,,,40
47.961977,trial_spawn,B1_T02,near_hit,Hit,,8,8
49.618195,controller_right,,,,,,41
55.241545,trial_spawn,B1_T03,clear_miss,Miss,,20,20
56.021449,controller_left,,,,,,40
61.981422,trial_spawn,B1_T04,near_miss,Miss,,14,14
62.663735,controller_left,,,,,,40
69.151555,trial_spawn,B1_T05,clear_hit,Hit,,6,6
69.735863,controller_right,,,,,,41
74.175802,trial_spawn,B1_T06,near_miss,Miss,,17,17
75.039091,controller_right,,,,,,41
79.091617,trial_spawn,B1_T07,near_hit,Hit,,11,11
79.857376,controller_left,,,,,,40
83.823281,trial_spawn,B1_T08,near_miss,Miss,,15,15
86.247064,controller_right,,,,,,41
90.256745,trial_spawn,B1_T09,clear_miss,Miss,,20,20
0.000000,session_end,,,,,,57
0.020000,phase_intro,,,,,,51
8.173662,phase_controller_practice,,,,,,32
12.239415,phase_difficult_practice,,,,,,35
13.590394,trial_spawn,PRACTICE_T01,clear_miss,Miss,,19,19
15.066525,controller_left,,,,,,40
20.288256,trial_spawn,PRACTICE_T02,clear_hit,Hit,,1,1
21.040106,controller_right,,,,,,41
26.719711,trial_spawn,PRACTICE_T03,near_miss,Miss,,13,13
27.861436,controller_left,,,,,,40
33.152512,trial_spawn,PRACTICE_T04,near_hit,Hit,,7,7
34.113332,controller_right,,,,,,41
38.664237,block_end,,,,,,30
0.000000,session_end,,,,,,57
0.020000,phase_intro,,,,,,51
8.166201,phase_controller_practice,,,,,,32
14.780167,phase_difficult_practice,,,,,,35
15.907625,trial_spawn,PRACTICE_T01,near_miss,Miss,,13,13
16.937903,controller_left,,,,,,40
22.535487,trial_spawn,PRACTICE_T02,near_hit,Hit,,7,7
23.218131,controller_right,,,,,,41
29.261143,trial_spawn,PRACTICE_T03,clear_miss,Miss,,19,19
0.000000,session_end,,,,,,57
