subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
pampam,1,1,1,T,1,fast,narrow,D2,150529.552,,,,,,,,,,152144.491,152729.896,585.4,0.583,2.250,0.250,None,0,2026-07-27T10:21:14.6150808+02:00
pampam,1,1,2,VT,0,fast,narrow,D6,154332.039,154332.039,154832.744,154832.744,155041.556,155264.448,155486.867,155709.355,155933.229,156155.393,155041.556,,,1.917,2.250,0.250,None,0,2026-07-27T10:21:18.6225311+02:00
pampam,1,1,3,T,1,slow,narrow,D3,158368.136,,,,,,,,,,162544.550,160776.413,-1768.1,0.917,2.250,0.250,None,0,2026-07-27T10:21:25.7629036+02:00
pampam,1,1,4,VT,1,fast,narrow,D5,165244.199,165244.199,165745.015,165745.015,165954.571,166176.899,166399.859,166622.378,166844.849,167068.553,166176.899,166609.033,432.1,1.583,2.250,0.250,None,0,2026-07-27T10:21:28.9649791+02:00
pampam,1,1,5,VT,1,slow,narrow,D1,168793.660,168793.660,170296.515,170296.515,170951.355,171619.660,172288.905,172956.701,173624.885,174293.119,174293.119,174154.693,-138.4,0.250,2.250,0.250,None,0,2026-07-27T10:21:36.1897770+02:00
pampam,1,1,6,VT,0,slow,narrow,D7,175866.251,175866.251,177368.455,177368.455,178022.906,178691.425,179360.141,180027.765,180695.083,181363.245,177368.455,,,2.250,2.250,0.250,None,0,2026-07-27T10:21:43.9144589+02:00
pampam,1,1,7,V,1,slow,narrow,,183521.929,183521.929,185025.262,185025.262,185679.218,186347.089,187015.700,187683.734,188351.621,189019.660,,186807.549,,,2.250,0.250,None,0,2026-07-27T10:21:50.9163895+02:00
pampam,1,1,8,T,0,slow,narrow,D6,190675.855,,,,,,,,,,192848.507,,,1.917,2.250,0.250,None,0,2026-07-27T10:21:58.6148383+02:00
pampam,1,1,9,T,0,fast,narrow,D5,198054.416,,,,,,,,,,199000.564,,,1.583,2.250,0.250,None,0,2026-07-27T10:22:02.5530919+02:00
pampam,1,1,10,V,1,fast,narrow,,202438.237,202438.237,202939.023,202939.023,203148.141,203371.028,203593.075,203816.102,204037.572,204260.658,,204233.145,,,2.250,0.250,None,0,2026-07-27T10:22:06.1575447+02:00
pampam,1,1,11,T,0,fast,narrow,D7,205514.108,,,,,,,,,,206015.232,,,2.250,2.250,0.250,None,0,2026-07-27T10:22:09.9443008+02:00
pampam,1,1,12,VT,1,slow,narrow,D2,209383.282,209383.282,210887.737,210887.737,211541.031,212209.238,212878.570,213546.359,214214.123,214882.322,214214.123,214451.761,237.6,0.583,2.250,0.250,None,0,2026-07-27T10:22:16.7790065+02:00
pampam,1,1,13,V,1,slow,narrow,,216219.036,216219.036,217722.254,217722.254,218376.635,219045.021,219712.989,220381.370,221049.751,221717.995,,219685.281,,,2.250,0.250,None,0,2026-07-27T10:22:23.6155893+02:00
pampam,1,1,14,VT,1,slow,narrow,D1,223374.305,223374.305,224877.920,224877.920,225532.411,226200.601,226868.207,227536.869,228204.676,228872.069,228872.069,224794.196,-4077.9,0.250,2.250,0.250,None,0,2026-07-27T10:22:30.7690366+02:00
pampam,1,1,15,T,1,slow,narrow,D3,230375.315,,,,,,,,,,234551.503,230417.782,-4133.7,0.917,2.250,0.250,None,0,2026-07-27T10:22:37.7708746+02:00
pampam,1,1,16,T,1,slow,narrow,D5,237446.951,,,,,,,,,,240286.716,237655.596,-2631.1,1.583,2.250,0.250,None,0,2026-07-27T10:22:44.8419106+02:00
pampam,1,1,17,T,1,slow,narrow,D1,244755.366,,,,,,,,,,250268.647,246718.165,-3550.5,0.250,2.250,0.250,None,0,2026-07-27T10:22:52.1518978+02:00
pampam,1,1,18,T,1,fast,narrow,D2,251534.700,,,,,,,,,,253150.018,252314.177,-835.8,0.583,2.250,0.250,None,0,2026-07-27T10:22:55.2693230+02:00
pampam,1,1,19,VT,1,slow,narrow,D3,254750.829,254750.829,256254.879,256254.879,256908.915,257576.838,258245.773,258913.897,259581.883,260250.657,258913.897,259108.180,194.3,0.917,2.250,0.250,None,0,2026-07-27T10:23:02.1473759+02:00
pampam,1,1,20,V,1,fast,narrow,,261947.623,261947.623,262449.657,262449.657,262671.321,262894.059,263103.085,263325.296,263548.063,263770.557,,263562.360,,,2.250,0.250,None,0,2026-07-27T10:23:05.6676866+02:00
pampam,1,1,21,V,0,fast,narrow,,278066.162,278066.162,278567.196,278567.196,278775.990,278998.468,279221.811,279444.829,279667.359,279890.932,,,,,2.250,0.250,None,0,2026-07-27T10:23:21.7887886+02:00
pampam,1,1,22,T,0,slow,narrow,D4,281407.061,,,,,,,,,,284915.724,,,1.250,2.250,0.250,None,0,2026-07-27T10:23:29.5995387+02:00
