subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
01-07-26-session1,1,1,1,VT,1,fast,narrow,D3,50858.760,50858.760,51345.810,51471.076,51596.602,51846.915,51471.076,53824.027,2353.0,None,0,2026-07-01T10:40:22.3217151+02:00
01-07-26-session1,1,1,2,VT,1,slow,wide,D3,55076.951,55076.951,56566.722,56914.644,57290.335,58056.553,56914.644,58348.662,1434.0,None,0,2026-07-01T10:40:26.8047887+02:00
01-07-26-session1,1,1,3,VT,1,fast,narrow,D6,59559.859,59559.859,60047.276,60159.261,60297.857,60548.873,59810.479,61230.915,1420.4,None,0,2026-07-01T10:40:31.0228078+02:00
01-07-26-session1,1,1,4,VT,1,fast,narrow,D5,63779.081,63779.081,64265.920,64391.280,64516.645,64767.172,64154.775,65642.376,1487.6,None,0,2026-07-01T10:40:35.2384963+02:00
01-07-26-session1,1,1,5,VT,1,slow,narrow,D4,67995.340,67995.340,69485.826,69834.086,70209.980,70975.856,69485.826,71031.751,1545.9,None,0,2026-07-01T10:40:39.4882863+02:00
01-07-26-session1,1,1,6,VT,1,slow,wide,D3,72242.896,72242.896,73732.540,74080.635,74456.717,75222.189,74080.635,75570.409,1489.8,None,0,2026-07-01T10:40:44.0266421+02:00
01-07-26-session1,1,1,7,VT,1,fast,wide,D7,76781.533,76781.533,77268.605,77394.021,77519.781,77769.985,76781.533,78312.991,1531.5,None,0,2026-07-01T10:40:48.2450136+02:00
01-07-26-session1,1,1,8,VT,1,fast,narrow,D1,81000.188,81000.188,81487.322,81612.582,81737.705,81988.428,81988.428,83575.681,1587.3,None,0,2026-07-01T10:40:52.4629856+02:00
01-07-26-session1,1,1,9,VT,1,slow,narrow,D3,85218.479,85218.479,86707.977,87055.825,87432.062,88197.634,87055.825,88754.790,1699.0,None,0,2026-07-01T10:40:57.2114972+02:00
01-07-26-session1,1,1,10,VT,1,fast,wide,D1,89966.378,89966.378,90454.169,90579.017,90704.259,90954.802,90954.802,92472.088,1517.3,None,0,2026-07-01T10:41:01.4282714+02:00
01-07-26-session1,1,1,11,VT,1,fast,narrow,D1,94184.665,94184.665,94671.739,94797.086,94922.662,95173.051,95173.051,96676.326,1503.3,None,0,2026-07-01T10:41:05.6474134+02:00
01-07-26-session1,1,1,12,VT,1,slow,narrow,D3,98402.853,98402.853,99892.546,100240.573,100616.329,101382.043,100240.573,101883.590,1643.0,None,0,2026-07-01T10:41:10.3405159+02:00
01-07-26-session1,1,1,13,V,0,fast,narrow,,103094.607,103094.607,103581.888,103707.328,103832.561,104083.321,,,,None,0,2026-07-01T10:41:14.5572633+02:00
01-07-26-session1,1,1,14,VT,1,fast,wide,D5,107313.169,107313.169,107800.116,107925.261,108050.647,108301.281,107688.912,109080.836,1391.9,None,0,2026-07-01T10:41:18.7760659+02:00
01-07-26-session1,1,1,15,VT,1,fast,narrow,D7,111531.342,111531.342,112018.850,112143.932,112269.270,112519.795,111531.342,113578.041,2046.7,None,0,2026-07-01T10:41:22.9933697+02:00
01-07-26-session1,1,1,16,VT,1,slow,wide,D2,115750.479,115750.479,117239.920,117587.551,117963.465,118729.194,117963.465,119508.806,1545.3,None,0,2026-07-01T10:41:27.9641269+02:00
01-07-26-session1,1,1,17,T,1,slow,wide,D2,120719.852,,,,,,122947.830,124783.545,1835.7,None,0,2026-07-01T10:41:33.2407642+02:00
01-07-26-session1,1,1,18,V,0,slow,narrow,,125995.570,125995.570,127485.723,127833.924,128209.910,128975.749,,,,None,0,2026-07-01T10:41:37.4584234+02:00
01-07-26-session1,1,1,19,V,0,slow,wide,,130215.106,130215.106,131704.463,132052.550,132428.483,133194.063,,,,None,0,2026-07-01T10:41:41.6778480+02:00
01-07-26-session1,1,1,20,VT,1,slow,narrow,D1,134433.185,134433.185,135922.687,136270.894,136646.819,137426.212,137426.212,139027.208,1601.0,None,0,2026-07-01T10:41:47.4834119+02:00
01-07-26-session1,1,1,21,VT,1,slow,narrow,D7,140238.352,140238.352,141728.113,142075.963,142451.854,143218.530,140238.352,142326.512,2088.2,None,0,2026-07-01T10:41:51.7001204+02:00
