Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
19.729366,pps_trial_start,PRACTICE_T01,TactileOnly,,,19,19
21.232911,pps_vib_fired,PRACTICE_T01,,,,D4,127
22.485711,pps_response,,,,,,62
23.947480,pps_trial_start,PRACTICE_T02,TactileOnly,,,13,13
25.799300,pps_vib_fired,PRACTICE_T02,,,,D3,127
27.274823,pps_response,,,,,,62
30.936276,pps_trial_start,PRACTICE_T01,VisualOnly,,,3,3
33.052293,pps_response,,,,,,62
35.154622,pps_trial_start,PRACTICE_T02,Both,,,47,47
36.644696,pps_vib_fired,PRACTICE_T02,,,,D4,127
38.594193,pps_response,,,,,,62
39.804646,pps_trial_start,PRACTICE_T03,Both,,,41,41
41.642425,pps_vib_fired,PRACTICE_T03,,,,D3,127
43.549821,pps_response,,,,,,62
48.116002,pps_session_start,,,,,,61
50.858760,pps_trial_start,B1_T01,Both,,,42,42
51.471076,pps_vib_fired,B1_T01,,,,D3,127
53.824027,pps_response,,,,,,62
55.076951,pps_trial_start,B1_T02,Both,,,43,43
56.914644,pps_vib_fired,B1_T02,,,,D3,127
58.348662,pps_response,,,,,,62
59.559859,pps_trial_start,B1_T03,Both,,,54,54
59.810479,pps_vib_fired,B1_T03,,,,D6,127
61.230915,pps_response,,,,,,62
63.779081,pps_trial_start,B1_T04,Both,,,50,50
64.154775,pps_vib_fired,B1_T04,,,,D5,127
65.642376,pps_response,,,,,,62
67.995340,pps_trial_start,B1_T05,Both,,,45,45
69.485826,pps_vib_fired,B1_T05,,,,D4,127
71.031751,pps_response,,,,,,62
72.242896,pps_trial_start,B1_T06,Both,,,43,43
74.080635,pps_vib_fired,B1_T06,,,,D3,127
75.570409,pps_response,,,,,,62
76.781533,pps_trial_start,B1_T07,Both,,,60,60
76.781533,pps_vib_fired,B1_T07,,,,D7,127
78.312991,pps_response,,,,,,62
81.000188,pps_trial_start,B1_T08,Both,,,34,34
81.988428,pps_vib_fired,B1_T08,,,,D1,127
83.575681,pps_response,,,,,,62
85.218479,pps_trial_start,B1_T09,Both,,,41,41
87.055825,pps_vib_fired,B1_T09,,,,D3,127
88.754790,pps_response,,,,,,62
89.966378,pps_trial_start,B1_T10,Both,,,36,36
90.954802,pps_vib_fired,B1_T10,,,,D1,127
92.472088,pps_response,,,,,,62
94.184665,pps_trial_start,B1_T11,Both,,,34,34
95.173051,pps_vib_fired,B1_T11,,,,D1,127
96.676326,pps_response,,,,,,62
98.402853,pps_trial_start,B1_T12,Both,,,41,41
100.240573,pps_vib_fired,B1_T12,,,,D3,127
101.883590,pps_response,,,,,,62
103.094607,pps_trial_start,B1_T13,VisualOnly,,,2,2
107.313169,pps_trial_start,B1_T14,Both,,,52,52
107.688912,pps_vib_fired,B1_T14,,,,D5,127
109.080836,pps_response,,,,,,62
111.531342,pps_trial_start,B1_T15,Both,,,58,58
111.531342,pps_vib_fired,B1_T15,,,,D7,127
113.578041,pps_response,,,,,,62
115.750479,pps_trial_start,B1_T16,Both,,,39,39
117.963465,pps_vib_fired,B1_T16,,,,D2,127
119.508806,pps_response,,,,,,62
120.719852,pps_trial_start,B1_T17,TactileOnly,,,11,11
122.947830,pps_vib_fired,B1_T17,,,,D2,127
124.783545,pps_response,,,,,,62
125.995570,pps_trial_start,B1_T18,VisualOnly,,,1,1
130.215106,pps_trial_start,B1_T19,VisualOnly,,,3,3
134.433185,pps_trial_start,B1_T20,Both,,,33,33
137.426212,pps_vib_fired,B1_T20,,,,D1,127
139.027208,pps_response,,,,,,62
140.238352,pps_trial_start,B1_T21,Both,,,57,57
140.238352,pps_vib_fired,B1_T21,,,,D7,127
142.326512,pps_response,,,,,,62
144.456966,pps_trial_start,B1_T22,Both,,,44,44
145.056063,pps_vib_fired,B1_T22,,,,D3,127
146.740349,pps_response,,,,,,62
148.675391,pps_trial_start,B1_T23,TactileOnly,,,32,32
148.675391,pps_vib_fired,B1_T23,,,,D7,127
