subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
P000,1,1,1,near_hit,MISS,none,slow,start-slow,start,-34.10,0,0,0.0000,HIT,1183.50,0,0,2026-07-01T10:57:27.0975843+02:00
P000,1,1,2,near_hit,MISS,slow,slow,slow-slow,repetition,-44.61,0,0,0.0000,MISS,1475.94,1,0,2026-07-01T10:57:40.3927397+02:00
P000,1,1,3,near_miss,MISS,slow,slow,slow-slow,repetition,-53.38,0,0,0.0000,MISS,1211.69,1,0,2026-07-01T10:57:53.2300830+02:00
P000,1,1,4,near_hit,MISS,slow,fast,slow-fast,transition,35.58,0,0,0.0000,MISS,946.95,1,0,2026-07-01T10:58:06.8178945+02:00
P000,1,1,5,clear_hit,HIT,fast,fast,fast-fast,repetition,7.40,0,0,0.0000,HIT,974.08,1,0,2026-07-01T10:58:12.6236021+02:00
P000,1,1,6,near_hit,MISS,fast,fast,fast-fast,repetition,-38.40,0,0,0.0000,MISS,1058.32,1,0,2026-07-01T10:58:18.3457306+02:00
P000,1,1,7,near_miss,MISS,fast,fast,fast-fast,repetition,-50.28,0,0,0.0000,MISS,835.42,1,0,2026-07-01T10:58:23.9842516+02:00
P000,1,1,8,near_miss,MISS,fast,slow,fast-slow,transition,-50.06,0,0,0.0000,MISS,1642.72,1,0,2026-07-01T10:58:30.4150280+02:00
P000,1,1,9,clear_miss,MISS,slow,slow,slow-slow,repetition,-85.21,0,0,0.0000,MISS,960.64,1,0,2026-07-01T10:58:43.4611330+02:00
P000,1,1,10,near_miss,MISS,slow,slow,slow-slow,repetition,-56.79,0,0,0.0000,MISS,1363.58,1,0,2026-07-01T10:58:57.6200990+02:00
P000,1,1,11,near_hit,MISS,slow,slow,slow-slow,repetition,44.39,0,0,0.0000,MISS,1545.52,1,0,2026-07-01T10:59:10.9433297+02:00
P000,1,1,12,clear_miss,MISS,slow,slow,slow-slow,repetition,69.00,0,0,0.0000,MISS,946.65,1,0,2026-07-01T10:59:24.0297493+02:00
P000,1,1,13,near_hit,MISS,slow,fast,slow-fast,transition,42.10,0,0,0.0000,HIT,1921.23,0,0,2026-07-01T10:59:38.8981154+02:00
P000,1,1,14,near_hit,MISS,fast,fast,fast-fast,repetition,39.47,0,0,0.0000,HIT,2157.24,0,0,2026-07-01T10:59:44.7596266+02:00
P000,1,1,15,clear_miss,MISS,fast,fast,fast-fast,repetition,87.83,0,0,0.0000,MISS,710.41,1,0,2026-07-01T10:59:49.2575298+02:00
P000,1,1,16,near_miss,MISS,fast,fast,fast-fast,repetition,-56.06,0,0,0.0000,HIT,1057.80,0,0,2026-07-01T10:59:55.0477180+02:00
P000,1,1,17,clear_hit,HIT,fast,fast,fast-fast,repetition,10.78,0,0,0.0000,HIT,737.43,1,0,2026-07-01T11:00:01.0342988+02:00
P000,1,1,18,near_hit,MISS,fast,fast,fast-fast,repetition,-35.65,0,0,0.0000,MISS,946.88,1,0,2026-07-01T11:00:06.8126634+02:00
P000,1,1,19,clear_miss,MISS,fast,fast,fast-fast,repetition,60.19,0,0,0.0000,MISS,891.10,1,0,2026-07-01T11:00:12.4237345+02:00
P000,1,1,20,near_hit,MISS,fast,fast,fast-fast,repetition,34.95,0,0,0.0000,MISS,724.05,1,0,2026-07-01T11:00:18.1871604+02:00
P000,1,1,21,near_hit,MISS,fast,slow,fast-slow,transition,-39.07,0,0,0.0000,MISS,1795.92,1,0,2026-07-01T11:00:25.3006120+02:00
P000,1,1,22,clear_miss,MISS,slow,slow,slow-slow,repetition,66.32,0,0,0.0000,MISS,1267.67,1,0,2026-07-01T11:00:38.4997415+02:00
P000,1,1,23,clear_hit,HIT,slow,slow,slow-slow,repetition,0.00,0,0,0.0000,HIT,1002.69,1,0,2026-07-01T11:00:52.1289626+02:00
P000,1,1,24,near_hit,MISS,slow,fast,slow-fast,transition,-39.48,0,0,0.0000,MISS,807.39,1,0,2026-07-01T11:01:04.9927007+02:00
